generation,member,obj_1,obj_2,obj_1_sd,obj_2_sd,obj_1_sd_syn,obj_2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
50,gen=198_member=4715_pso,-16.9243,-3.96772,0.0760265,0.0498279,0.0760265,0.118033,1,1.0,0,0.342738,0.342738,1,-999
50,gen=95_member=4428_pso,-19.7361,0.218247,0.0,0.0,0.052945,0.118033,1,1.0,0,0.189364,0.189364,1,-999
50,gen=198_member=4702_pso,-15.9466,-7.63865,0.0326221,0.0741837,0.052945,0.118033,1,1.0,0,0.413651,0.413651,1,-999
50,gen=99_member=4847_pso,-18.4805,-1.22913,0.0,0.0,0.052945,0.118033,1,1.0,0,0.261595,0.261595,1,-999
50,gen=198_member=4765_pso,-15.0917,-9.87698,0.0292255,0.0254677,0.052945,0.118033,1,1.0,0,0.407771,0.407771,1,-999
50,gen=199_member=4891_pso,-16.5972,-5.24437,0.0324881,0.0296672,0.052945,0.118033,1,1.0,0,0.379368,0.379368,1,-999
50,gen=200_member=4967_pso,-14.9938,-10.2374,0.0308098,0.0281038,0.052945,0.118033,1,1.0,0,0.413331,0.413331,1,-999
50,gen=70_member=1942_pso,-16.8098,-4.29018,0.0,0.0,0.052945,0.118033,1,1.0,0,0.381936,0.381936,1,-999
50,gen=71_member=2092_pso,-18.4424,-1.52437,0.0,0.0,0.052945,0.118033,1,1.0,0,0.283536,0.283536,1,-999
50,gen=86_member=3536_pso,-16.7492,-4.62841,0.0,0.0,0.052945,0.118033,1,1.0,0,0.371815,0.371815,1,-999
50,gen=89_member=3867_pso,-18.5372,-1.05128,0.0,0.0,0.052945,0.118033,1,1.0,0,0.26694,0.26694,1,-999
50,gen=93_member=4213_pso,-15.5569,-7.98493,0.0,0.0,0.052945,0.118033,1,1.0,0,0.413516,0.413516,1,-999
50,gen=93_member=4299_pso,-18.3142,-2.00227,0.0,0.0,0.052945,0.118033,1,1.0,0,0.296039,0.296039,1,-999
50,gen=89_member=3823_pso,-18.4246,-1.88418,0.0,0.0,0.052945,0.118033,1,1.0,0,0.308871,0.308871,1,-999
50,gen=96_member=4598_pso,-16.5708,-5.29499,0.0,0.0,0.052945,0.118033,1,1.0,0,0.376954,0.376954,1,-999
50,gen=190_member=3943_pso,-16.3407,-6.49568,0.0327726,0.0460865,0.052945,0.118033,1,1.0,0,0.388819,0.388819,1,-999
50,gen=197_member=4607_pso,-16.2625,-6.814,0.0324468,0.0274044,0.052945,0.118033,1,1.0,0,0.391152,0.391152,1,-999
50,gen=98_member=4701_pso,-18.6714,-0.671443,0.0,0.0,0.052945,0.118033,1,1.0,0,0.247044,0.247044,1,-999
50,gen=193_member=4292_pso,-16.6791,-4.89273,0.0347223,0.0293212,0.052945,0.118033,1,1.0,0,0.364519,0.364519,1,-999
50,gen=192_member=4151_pso,-15.9955,-7.49342,0.0339803,0.0305012,0.052945,0.118033,1,1.0,0,0.410914,0.410914,1,-999
50,gen=191_member=4099_pso,-15.2285,-9.28125,0.0331602,0.0253583,0.052945,0.118033,1,1.0,0,0.409815,0.409815,1,-999
50,gen=193_member=4294_pso,-14.8362,-10.8568,0.0275901,0.021841,0.052945,0.118033,1,1.0,0,0.430718,0.430718,1,-999
50,gen=189_member=3813_pso,-17.6885,-3.75047,0.0825915,0.0603292,0.0825915,0.118033,1,1.0,0,0.329355,0.329355,1,-999
50,gen=160_member=978_pso,-15.8652,-7.75028,0.035986,0.127764,0.052945,0.127764,1,1.0,0,0.415019,0.415019,1,-999
50,gen=198_member=4734_pso,-16.0779,-7.36844,0.0328726,0.0378317,0.052945,0.118033,1,1.0,0,0.417181,0.417181,1,-999
50,gen=98_member=4781_pso,-18.2625,-2.60381,0.0,0.0,0.052945,0.118033,1,1.0,0,0.304285,0.304285,1,-999
50,gen=198_member=4767_pso,-16.8196,-4.24778,0.035877,0.0354862,0.052945,0.118033,1,0.444444,1,0.375922,0.375922,1,-999
50,gen=194_member=4365_pso,-14.4554,-11.5558,0.0329268,0.0479482,0.052945,0.118033,1,0.444444,1,0.408228,0.408228,1,-999
50,gen=200_member=4900_pso,-14.8977,-10.6009,0.0318518,0.0247588,0.052945,0.118033,1,0.444444,1,0.419205,0.419205,1,-999
50,gen=97_member=4627_pso,-15.3085,-8.88677,0.0,0.0,0.052945,0.118033,1,0.444444,1,0.396775,0.396775,1,-999
50,gen=172_member=2196_pso,-14.9858,-10.2315,0.0320298,0.0310702,0.052945,0.118033,1,0.444444,1,0.412662,0.412662,1,-999
50,gen=197_member=4699_pso,-16.9358,-3.79895,0.046853,0.045012,0.052945,0.118033,1,0.444444,1,0.332298,0.332298,1,-999
50,gen=184_member=3381_pso,-16.6775,-4.87067,0.0333167,0.0293809,0.052945,0.118033,1,0.444444,1,0.361708,0.361708,1,-999
50,gen=185_member=3446_pso,-16.5146,-5.67215,0.0336555,0.031432,0.052945,0.118033,1,0.444444,1,0.38215,0.38215,1,-999
50,gen=187_member=3655_pso,-16.2316,-6.85063,0.032391,0.0272999,0.052945,0.118033,1,0.444444,1,0.393663,0.393663,1,-999
50,gen=199_member=4897_pso,-15.119,-9.72819,0.031783,0.0275183,0.052945,0.118033,1,0.444444,1,0.401643,0.401643,1,-999
50,gen=189_member=3898_pso,-15.2694,-9.09018,0.0333477,0.0269534,0.052945,0.118033,1,0.444444,1,0.406671,0.406671,1,-999
50,gen=196_member=4599_pso,-15.2124,-9.30428,0.033538,0.0282344,0.052945,0.118033,1,0.444444,1,0.4065,0.4065,1,-999
50,gen=191_member=4046_pso,-16.1795,-7.10088,0.0307669,0.0232505,0.052945,0.118033,1,0.444444,1,0.414892,0.414892,1,-999
50,gen=199_member=4856_pso,-16.4448,-6.01673,0.0337276,0.0299459,0.052945,0.118033,1,0.444444,1,0.399846,0.399846,1,-999
50,gen=199_member=4803_pso,-15.0643,-9.94078,0.0307575,0.0239585,0.052945,0.118033,1,0.444444,1,0.396782,0.396782,1,-999
50,gen=197_member=4695_pso,-14.6532,-11.3441,0.0262797,0.0235277,0.052945,0.118033,1,0.444444,1,0.43653,0.43653,1,-999
50,gen=199_member=4800_pso,-14.9325,-10.4921,0.0317344,0.0263869,0.052945,0.118033,1,0.444444,1,0.407035,0.407035,1,-999
50,gen=80_member=2919_pso,-16.8669,-4.01669,0.0,0.0,0.052945,0.118033,1,0.444444,1,0.347723,0.347723,1,-999
50,gen=95_member=4492_pso,-18.2777,-2.50213,0.0,0.0,0.052945,0.118033,1,0.444444,1,0.300583,0.300583,1,-999
50,gen=195_member=4484_pso,-16.4501,-5.93464,0.0398642,0.0298355,0.052945,0.118033,1,0.444444,1,0.387234,0.387234,1,-999
50,gen=200_member=4903_pso,-15.4399,-8.38474,0.0299618,0.0230704,0.052945,0.118033,1,0.444444,1,0.402483,0.402483,1,-999
50,gen=199_member=4886_pso,-14.8042,-10.9464,0.0326762,0.0266212,0.052945,0.118033,1,0.444444,1,0.424111,0.424111,1,-999
50,gen=183_member=3288_pso,-14.7364,-11.1112,0.0289255,0.0289995,0.052945,0.118033,1,0.111111,2,0.439878,0.439878,1,-999
50,gen=200_member=4987_pso,-15.5268,-8.08466,0.030415,0.0242934,0.052945,0.118033,1,0.111111,2,0.409426,0.409426,1,-999
50,gen=200_member=4973_pso,-14.5492,-11.5196,0.0282577,0.0241901,0.052945,0.118033,1,0.111111,2,0.42248,0.42248,1,-999
50,gen=196_member=4570_pso,-16.5293,-5.62082,0.0310959,0.0282151,0.052945,0.118033,1,0.111111,2,0.374595,0.374595,1,-999
50,gen=169_member=1894_pso,-16.8147,-4.24014,0.0363742,0.035991,0.052945,0.118033,1,0.111111,2,0.375014,0.375014,1,-999
