real_name,x1,x2,x3
gen=100_member=4940_pso,-1.01998,-0.864224,-1.08395
gen=69_member=1862_pso,-0.959222,-0.0625171,-0.851009
gen=70_member=1942_pso,-0.869037,-0.00781675,-0.868586
gen=71_member=2092_pso,-0.0396482,0.003907,-0.799789
gen=73_member=2244_pso,-0.876669,-0.015784,-0.82629
gen=76_member=2541_pso,-0.897438,-0.0500246,-0.816189
gen=79_member=2801_pso,-1.02914,-0.804385,-1.06737
gen=80_member=2919_pso,-0.992556,-0.0722517,-0.70893
gen=82_member=3155_pso,-1.02217,-0.922933,-1.06401
gen=86_member=3536_pso,-0.977936,-0.00215627,-0.797504
gen=86_member=3538_pso,-1.10477,-1.12413,-1.10006
gen=89_member=3823_pso,0.00854371,0.0104282,-0.841143
gen=89_member=3867_pso,0.0458429,0.00966237,-0.736393
gen=89_member=3878_pso,-1.06863,-0.677064,-1.05514
gen=92_member=4190_pso,-1.05205,-0.878223,-1.11111
gen=93_member=4213_pso,-1.06211,-0.650917,-1.08652
gen=93_member=4299_pso,-0.0443055,0.0193474,-0.865334
gen=95_member=4428_pso,0.0415036,0.0588973,0.0149508
gen=95_member=4492_pso,0.0168007,0.0130887,-0.919404
gen=96_member=4598_pso,-0.939156,-0.082599,-0.934501
gen=97_member=4627_pso,-1.08957,-0.809435,-1.03759
gen=97_member=4648_pso,-0.84469,0.0363211,-0.950944
gen=98_member=4701_pso,-0.0344311,-0.0101804,-0.671592
gen=98_member=4723_pso,-0.859488,-0.152578,-0.996738
gen=98_member=4763_pso,-0.797849,-0.0304014,-0.877168
gen=98_member=4781_pso,0.000331712,-0.0207434,-0.929037
gen=99_member=4847_pso,-0.0349768,0.0343892,-0.766079
gen=99_member=4876_pso,-1.02668,-0.956754,-1.12035
gen=160_member=978_pso,-1.11368,0.0760692,-1.17287
gen=169_member=1894_pso,-1.00754,-0.0322309,-0.724615
gen=172_member=2196_pso,-1.0331,-1.00283,-1.05171
gen=173_member=2299_pso,-1.062,-0.800534,-1.14515
gen=179_member=2889_pso,-0.836754,-0.091499,-0.976739
gen=179_member=2899_pso,-1.07358,-0.991932,-1.05068
gen=181_member=3076_pso,-1.0224,-0.904632,-1.04314
gen=181_member=3090_pso,-1.07086,0.151829,-1.1968
gen=183_member=3288_pso,-1.06192,-1.06797,-1.12267
gen=184_member=3381_pso,-0.935398,0.0579953,-0.880472
gen=185_member=3446_pso,-1.03064,0.0183584,-0.887863
gen=185_member=3468_pso,-0.828626,-0.0422184,-0.87641
gen=185_member=3483_pso,-0.991582,0.0389263,-0.902126
gen=186_member=3586_pso,-1.11215,-1.07776,-1.12808
gen=187_member=3655_pso,-1.05485,-0.0812989,-1.02838
gen=187_member=3682_pso,-1.03279,-0.930856,-1.05745
gen=188_member=3769_pso,-1.08813,0.0778475,-1.17641
gen=188_member=3777_pso,-1.10858,-0.74991,-1.03447
gen=188_member=3786_pso,-1.15058,-1.0808,-1.12864
gen=189_member=3813_pso,0.0114492,0.00362041,-1.20594
gen=189_member=3841_pso,-1.13839,0.0232368,-1.1603
gen=189_member=3898_pso,-1.07232,-0.84781,-1.03458
gen=190_member=3943_pso,-0.988864,0.0829184,-1.03241
gen=190_member=3989_pso,-1.14134,-1.04384,-1.12659
gen=190_member=3990_pso,-1.02508,-1.01209,-1.08518
gen=191_member=4046_pso,-1.0728,-0.0307666,-1.04537
gen=191_member=4098_pso,-1.10815,-0.903871,-1.10977
gen=191_member=4099_pso,-1.06991,-0.851064,-1.06461
gen=192_member=4151_pso,-1.13987,-0.0277476,-1.08423
gen=192_member=4154_pso,-1.09349,-1.1022,-1.11314
gen=193_member=4273_pso,-1.07856,-1.02171,-1.13605
gen=193_member=4292_pso,-0.900084,-0.0432749,-0.917387
gen=193_member=4294_pso,-1.0931,-1.01618,-1.10058
gen=194_member=4365_pso,-1.15937,-1.12051,-1.18629
gen=194_member=4368_pso,-1.04755,-0.903295,-1.12674
gen=195_member=4466_pso,-1.08507,-0.830853,-1.01234
gen=195_member=4484_pso,-0.904477,0.0182386,-1.04665
gen=195_member=4492_pso,-1.14197,-1.1256,-1.18899
gen=196_member=4500_pso,-0.822123,-0.0694787,-1.05673
gen=196_member=4540_pso,-1.11111,-0.90033,-1.06778
gen=196_member=4570_pso,-0.995103,-0.0158711,-0.912202
gen=196_member=4585_pso,-1.07853,-1.0285,-1.10756
gen=196_member=4599_pso,-1.09262,-0.860727,-1.03788
gen=197_member=4607_pso,-1.00984,-0.0224183,-1.05699
gen=197_member=4646_pso,-0.848306,0.083091,-1.02376
gen=197_member=4654_pso,-1.11147,-0.860435,-1.04943
gen=197_member=4681_pso,-1.10529,-0.960128,-1.12121
gen=197_member=4695_pso,-1.09591,-1.09227,-1.11788
gen=197_member=4699_pso,-0.718794,-0.0382005,-0.959283
gen=198_member=4702_pso,-1.10314,0.0331914,-1.15169
gen=198_member=4715_pso,-0.62818,0.103732,-1.07642
gen=198_member=4734_pso,-1.05531,-0.0295411,-1.1236
gen=198_member=4765_pso,-1.09405,-0.916906,-1.05404
gen=198_member=4767_pso,-0.989972,-0.0108458,-0.742715
gen=199_member=4800_pso,-1.11201,-0.972043,-1.07529
gen=199_member=4803_pso,-1.10828,-0.903876,-1.07797
gen=199_member=4856_pso,-1.00383,-0.0388826,-0.953891
gen=199_member=4858_pso,-1.07654,-0.758298,-1.01714
gen=199_member=4886_pso,-1.11719,-1.02475,-1.08982
gen=199_member=4891_pso,-0.973876,-0.0574862,-0.889458
gen=199_member=4897_pso,-1.04244,-0.925169,-1.06207
gen=200_member=4900_pso,-1.11492,-0.979921,-1.08512
gen=200_member=4903_pso,-1.09996,-0.707928,-1.06698
