real_name,x1,x2,x3
gen=100_member=4924_pso,-0.0172472,0.0886017,-0.628883
gen=100_member=4927_pso,-0.107927,0.109107,-0.825003
gen=100_member=4935_pso,-1.13406,-0.418617,-1.09382
gen=100_member=4940_pso,-1.01998,-0.864224,-1.08395
gen=100_member=4966_pso,-1.00188,-0.903651,-1.01067
gen=100_member=4973_pso,-0.0256959,0.0774187,-0.633818
gen=57_member=686_pso,-1.00152,-0.85026,-1.02463
gen=63_member=1237_pso,-1.08696,-0.629598,-1.15391
gen=68_member=1780_pso,-1.04645,-0.0934155,-0.834718
gen=68_member=1786_pso,-1.09478,-0.353039,-1.13834
gen=69_member=1807_pso,-1.08613,-0.477084,-1.11443
gen=69_member=1828_pso,-0.944342,-0.154229,-0.949397
gen=69_member=1862_pso,-0.959222,-0.0625171,-0.851009
gen=70_member=1903_pso,-0.183701,-0.0264038,0.169725
gen=70_member=1942_pso,-0.869037,-0.00781675,-0.868586
gen=70_member=1945_pso,-0.985604,-0.146653,-1.04275
gen=71_member=2061_pso,0.268454,0.146639,-1.22291
gen=71_member=2092_pso,-0.0396482,0.003907,-0.799789
gen=72_member=2136_pso,-1.04485,-0.26418,-1.07874
gen=73_member=2244_pso,-0.876669,-0.015784,-0.82629
gen=74_member=2344_pso,-0.0299025,0.100076,-0.922728
gen=75_member=2465_pso,-1.00559,-0.308848,-1.02153
gen=76_member=2541_pso,-0.897438,-0.0500246,-0.816189
gen=76_member=2557_pso,-1.0131,-0.433547,-1.11723
gen=77_member=2666_pso,-0.878223,-0.0736503,-0.695211
gen=78_member=2778_pso,0.0443034,0.106558,-0.956224
gen=78_member=2793_pso,-1.02364,-0.250658,-1.01026
gen=78_member=2795_pso,-1.00036,-0.128673,-0.566048
gen=79_member=2801_pso,-1.02914,-0.804385,-1.06737
gen=79_member=2885_pso,-1.03689,-0.627256,-1.08221
gen=80_member=2901_pso,-0.996292,-0.267176,-1.0042
gen=80_member=2914_pso,-0.133516,0.0545512,0.133446
gen=80_member=2919_pso,-0.992556,-0.0722517,-0.70893
gen=80_member=2966_pso,-1.0444,-0.122672,-0.928245
gen=80_member=2968_pso,-1.03142,-0.277438,-1.02484
gen=81_member=3077_pso,-1.03103,-0.22235,-0.977472
gen=81_member=3080_pso,-0.12105,0.0647974,-0.778599
gen=82_member=3102_pso,-0.97644,-0.884592,-1.12034
gen=82_member=3149_pso,0.0726154,0.0317412,-1.10401
gen=82_member=3155_pso,-1.02217,-0.922933,-1.06401
gen=82_member=3196_pso,-1.14648,-0.997912,-1.14584
gen=83_member=3268_pso,-0.0419484,0.0891592,-0.61135
gen=83_member=3296_pso,-1.06958,-0.220123,-1.04687
gen=85_member=3454_pso,-0.95327,-0.159948,-1.01503
gen=86_member=3536_pso,-0.977936,-0.00215627,-0.797504
gen=86_member=3538_pso,-1.10477,-1.12413,-1.10006
gen=86_member=3587_pso,-1.05806,-0.291985,-1.01078
gen=87_member=3609_pso,-1.15614,-0.529606,-1.12914
gen=87_member=3682_pso,-0.0461332,0.0403018,-0.751857
gen=89_member=3814_pso,-1.08812,-0.43092,-1.05816
gen=89_member=3823_pso,0.00854371,0.0104282,-0.841143
gen=89_member=3847_pso,0.0540388,0.0838589,-0.686431
gen=89_member=3867_pso,0.0458429,0.00966237,-0.736393
gen=89_member=3871_pso,-0.185176,0.00531137,0.480155
gen=89_member=3878_pso,-1.06863,-0.677064,-1.05514
gen=90_member=3903_pso,0.0868027,0.0409223,-0.78758
gen=90_member=3959_pso,0.227709,-0.0350226,-1.11047
gen=90_member=3986_pso,-0.142038,0.0796865,-0.779568
gen=90_member=3998_pso,-0.00847538,0.103668,-0.643792
gen=90_member=3999_pso,-1.0017,-0.150177,-0.935843
gen=91_member=4002_pso,-0.030245,0.0914094,-0.672067
gen=91_member=4014_pso,-1.06612,-0.291215,-1.01163
gen=91_member=4029_pso,0.212338,-0.0173208,-1.14161
gen=91_member=4054_pso,-0.146379,0.0604912,-0.900952
gen=91_member=4077_pso,-1.12378,-0.450894,-1.22403
gen=91_member=4099_pso,-0.122021,0.049975,-0.83104
