real_name,obj_1,obj_2,obj_1_sd,obj_2_sd,pf_obj_2
gen=86_member=3538_pso,-14.5973,-11.4173,0,0,1
gen=95_member=4428_pso,-19.7361,0.218247,0,0,1
gen=98_member=4701_pso,-18.6714,-0.671443,0,0,1
gen=98_member=4763_pso,-16.9142,-3.75961,0,0,1
gen=82_member=3149_pso,-17.8608,-3.60333,0,0,1
gen=82_member=3196_pso,-14.7581,-10.9402,0,0,1
gen=99_member=4876_pso,-15.0006,-10.106,0,0,1
gen=95_member=4460_pso,-14.8459,-10.4405,0,0,1
gen=78_member=2778_pso,-18.0214,-2.6149,0,0,1
gen=94_member=4353_pso,-18.0141,-3.37015,0,0,1
gen=63_member=1237_pso,-15.4667,-8.14711,0,0,1
gen=79_member=2801_pso,-15.3553,-8.69121,0,0,1
gen=80_member=2966_pso,-16.3955,-5.97268,0,0,1
gen=89_member=3867_pso,-18.5372,-1.05128,0,0,1
gen=93_member=4299_pso,-18.3142,-2.00227,0,0,1
gen=100_member=4940_pso,-15.2324,-9.18086,0,0,1
gen=94_member=4302_pso,-15.6496,-7.71103,0,0,1
gen=92_member=4190_pso,-15.1359,-9.59702,0,0,1
gen=70_member=1945_pso,-16.2941,-6.39669,0,0,1
gen=70_member=1942_pso,-16.8098,-4.29018,0,0,1
gen=90_member=3999_pso,-16.4394,-5.72333,0,0,1
gen=71_member=2092_pso,-18.4424,-1.52437,0,0,1
gen=89_member=3823_pso,-18.4246,-1.88418,0,0,1
gen=72_member=2136_pso,-16.0692,-6.94699,0,0,1
gen=98_member=4723_pso,-16.5717,-5.0586,0,0,1
gen=95_member=4492_pso,-18.2777,-2.50213,0,0,1
gen=98_member=4785_pso,-15.8991,-7.20748,0,0,1
gen=98_member=4781_pso,-18.2625,-2.60381,0,0,1
gen=99_member=4847_pso,-18.4805,-1.22913,0,0,1
gen=69_member=1862_pso,-16.6821,-4.7983,0,0,1
gen=86_member=3536_pso,-16.7492,-4.62841,0,0,1
gen=92_member=4103_pso,-15.1446,-9.5521,0,0,1
gen=94_member=4304_pso,-17.8928,-3.47664,0,0,1
gen=93_member=4213_pso,-15.5569,-7.98493,0,0,1
gen=68_member=1786_pso,-15.824,-7.41161,0,0,1
gen=97_member=4626_pso,-16.4931,-5.40404,0,0,1
gen=69_member=1807_pso,-15.7349,-7.53482,0,0,1
gen=97_member=4627_pso,-15.3085,-8.88677,0,0,1
gen=96_member=4598_pso,-16.5708,-5.29499,0,0,1
gen=100_member=4966_pso,-15.26,-8.94662,0,0,1
gen=78_member=2793_pso,-16.2202,-6.40267,0,0,1
gen=80_member=2968_pso,-16.1634,-6.55438,0,0,1
gen=76_member=2541_pso,-16.8459,-4.03647,0,0,1
gen=83_member=3296_pso,-16.1119,-6.92272,0,0,1
gen=89_member=3814_pso,-15.8703,-7.2076,0,0,1
gen=89_member=3878_pso,-15.5468,-8.00566,0,0,1
gen=73_member=2244_pso,-16.868,-3.9985,0,0,1
gen=91_member=4014_pso,-16.1183,-6.67017,0,0,1
gen=100_member=4935_pso,-15.7641,-7.48569,0,0,1
gen=97_member=4648_pso,-16.7112,-4.71831,0,0,1
gen=69_member=1828_pso,-16.5083,-5.38533,0,0,1
gen=86_member=3587_pso,-16.1315,-6.62109,0,0,1
gen=80_member=2919_pso,-16.8669,-4.01669,0,0,1
gen=82_member=3155_pso,-15.1374,-9.58142,0,0,1
