real_name,x1,x2,x3,x4,x5,x6
gen=0_member=0,3.826255033,8.74694412,2.660321101,3.052620752,3.918213593,5.398095948
gen=0_member=1,0.195614161,9.428037029,2.713963622,5.884063158,3.695549222,9.284742881
gen=0_member=2,1.251543449,7.621514745,1.027867058,4.259337302,4.076213348,8.475406065
gen=0_member=3,6.650311782,2.327446234,2.221909449,4.17103926,4.229225602,5.69106343
gen=0_member=4,1.862548597,3.549955005,1.570132976,2.013038951,1.279244256,5.998970127
gen=0_member=5,5.515656827,6.109138616,1.157743879,2.214304349,3.971536489,8.73049122
gen=0_member=6,7.580595934,6.459160872,3.955474999,1.787022657,3.423380131,7.649663626
gen=0_member=7,3.579636939,6.246233557,3.710291358,3.770298202,4.973004269,0.936409323
gen=0_member=8,4.827477367,1.98699491,1.487304642,5.634825966,1.461857316,0.258100399
gen=0_member=9,2.296001106,3.018630602,2.161784835,0.454713044,2.386982311,7.474745024
gen=0_member=10,2.55411744,0.601225467,2.134736516,1.464378134,1.881192942,5.095119031
gen=0_member=11,4.440204012,7.355070038,2.730843347,5.793868622,4.282454776,9.960261585
gen=0_member=12,1.753502153,6.661776694,4.659404317,3.172937627,4.376651056,2.306451844
gen=0_member=13,4.050614418,5.242747157,4.699729315,1.5373131,4.698874117,0.826578537
gen=0_member=14,4.395285839,8.096828178,4.048845062,3.551112688,4.59678124,3.858383007
gen=0_member=15,9.811719356,2.93108078,4.41946709,5.252372196,3.159238614,4.821406308
gen=0_member=16,2.782512834,4.670437353,1.071754565,2.084980584,2.782289835,1.20131779
gen=0_member=17,8.512787292,5.705847182,3.450886727,1.892730905,4.8154496,0.335485914
gen=0_member=18,8.91181037,0.048970376,4.328568267,0.341192255,2.540079621,2.755405087
gen=0_member=19,0.383925072,8.399032593,4.59172361,3.338209195,2.606119559,0.781722653
gen=0_member=20,2.052112164,5.811771833,4.984903331,2.803114153,3.398677224,6.599626508
gen=0_member=21,5.305688494,0.531221095,2.456364417,1.177237687,1.694693991,8.294860799
gen=0_member=22,1.199075189,5.061544586,3.151648006,5.980701907,3.103571142,7.025789404
gen=0_member=23,6.457814408,2.661851886,1.658248521,4.789115612,4.76825952,4.415737335
gen=0_member=24,9.106901045,7.517718622,3.185579575,0.986725012,1.076717544,2.266209059
gen=0_member=25,6.887027674,9.935441785,4.318486705,4.578795086,2.443198678,1.713518278
gen=0_member=26,1.486624951,4.480980965,2.532690671,2.116524176,2.339192618,7.786180357
gen=0_member=27,3.692754354,7.144338911,1.612971376,3.832297678,2.281387163,8.547200236
gen=0_member=28,7.105888697,5.616529412,1.443430042,5.658349202,2.588417035,2.578827185
gen=0_member=29,7.450804996,2.493029416,1.314832304,2.477687176,2.044240469,8.629065994
gen=0_member=30,7.237597009,6.794752591,2.303856756,1.715458478,4.923098377,4.11229932
gen=0_member=31,5.917747452,3.411007895,2.321585871,4.711170579,2.755497209,1.911503165
gen=0_member=32,4.532291153,7.49398531,2.278935581,0.076532172,1.594841488,1.462351764
gen=0_member=33,3.959474806,1.705048178,2.517074578,3.40425224,1.52826694,1.109190566
