generation,member,obj_1,obj_2,obj_1_sd,obj_2_sd,obj_1_sd_syn,obj_2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
90,gen=731_member=13080_pso,-103.093,5.55761,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0387168,0.0387168,1,-999
90,gen=128_member=12710_pso,-112.51,14.8642,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0545699,0.0545699,1,-999
90,gen=686_member=8543_pso,-271.216,77.5231,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0178664,0.0178664,1,-999
90,gen=422_member=12187_pso,-48.7951,4.12053,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0177567,0.0177567,1,-999
90,gen=406_member=10577_pso,-266.711,74.6672,0.001,0.001,2.30756,0.73494,1,1.0,0,0.019533,0.019533,1,-999
90,gen=924_member=2397_pso,-109.294,17.398,11.0608,1.13462,11.0608,1.13462,1,1.0,0,0.0427058,0.0427058,1,-999
90,gen=989_member=8842_pso,-104.046,8.57936,7.40927,0.39975,7.40927,0.73494,1,1.0,0,0.0406804,0.0406804,1,-999
90,gen=439_member=13868_pso,-53.9436,4.31072,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0195445,0.0195445,1,-999
90,gen=450_member=14918_pso,-249.298,41.6942,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0561084,0.0561084,1,-999
90,gen=441_member=14020_pso,-257.503,51.9663,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0326566,0.0326566,1,-999
90,gen=440_member=13911_pso,-257.767,56.2354,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0324768,0.0324768,1,-999
90,gen=443_member=14296_pso,-254.221,48.9802,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0376002,0.0376002,1,-999
90,gen=592_member=14137_pso,-90.2581,5.41021,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0369092,0.0369092,1,-999
90,gen=683_member=8270_pso,-231.304,27.2719,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0820656,0.0820656,1,-999
90,gen=447_member=14633_pso,-242.242,31.9886,0.001,0.001,2.30756,0.73494,1,1.0,0,0.0718823,0.0718823,1,-999
