real_name,x1,x2,x3,x4,x5,x6
gen=264_member=11323_pso,0.171601,1.83425,1.0,0.0,1.0,0.0
gen=269_member=11843_pso,0.902699,1.10282,1.0,0.0,1.0,0.0
gen=521_member=7049_pso,4.99548,1.00063,1.0,0.0,1.0,0.0
gen=544_member=9315_pso,0.544784,1.53985,1.0,0.0,1.0,0.0
gen=544_member=9362_pso,0.398411,1.64348,1.0,0.0,1.0,0.0
gen=579_member=12833_pso,0.282408,1.782,1.0,0.0,1.0,0.0
gen=785_member=3478_pso,4.66218,1.259,2.8057,1.20332,1.0,3.01027
gen=840_member=8986_pso,4.64413,0.985079,2.38952,0.77122,1.0,4.69951
gen=842_member=9176_pso,0.689635,1.30725,1.0,0.0,1.0,0.012629
gen=852_member=10176_pso,4.50146,0.869549,1.0,0.0,1.0,0.0
gen=860_member=10905_pso,4.96054,1.00334,1.0,0.0,1.0,0.0
gen=861_member=11088_pso,0.424822,1.57487,1.0,0.0,1.0,0.0
gen=863_member=11268_pso,4.96483,1.03434,1.0,0.0,1.0,0.0
gen=867_member=11686_pso,0.0629132,1.94594,1.0,0.0,1.0,0.0
gen=870_member=11956_pso,0.327341,1.74597,1.0,0.0,1.0,0.0
gen=870_member=11975_pso,4.99317,1.00086,1.0,0.0,1.0,0.0
gen=872_member=12111_pso,0.752827,1.27124,1.0,0.0,1.0,0.00862271
gen=872_member=12177_pso,4.02156,0.678319,1.0,0.0,1.0,0.0
gen=873_member=12203_pso,0.397604,1.67023,1.0,0.0,1.0,0.0
gen=875_member=12466_pso,4.53761,0.912726,1.0,0.0,1.0,0.0
gen=875_member=12489_pso,4.60366,0.879757,1.0,0.0,1.0,0.0
gen=876_member=12543_pso,4.28445,0.8124,1.0,0.0,1.0,0.0
gen=876_member=12597_pso,4.37328,0.798248,1.0,0.0,1.0,0.0
gen=877_member=12667_pso,4.65033,0.903779,1.0,0.0,1.0,0.0
gen=880_member=12953_pso,4.32266,0.812614,1.0,0.0,1.0,0.0
gen=882_member=13153_pso,4.06436,0.694433,1.0,0.0,1.0,0.0
gen=883_member=13268_pso,4.36815,0.839327,1.0,0.0,1.0,0.0
gen=885_member=13402_pso,4.42736,0.817946,1.0,0.0,1.0,0.0
gen=886_member=13568_pso,4.13643,0.794392,1.0,0.0,1.0,0.0
gen=886_member=13573_pso,4.39261,0.937796,1.0,0.0,1.0,0.0
gen=886_member=13589_pso,4.60796,0.938731,1.0,0.0,1.0,0.0
gen=887_member=13639_pso,0.0,1.99987,1.0,0.0,1.0,0.0
gen=887_member=13655_pso,4.32948,0.891052,1.0,0.0,1.0,0.0
gen=887_member=13693_pso,4.33935,0.869177,1.0,0.0,1.0,0.0
gen=888_member=13714_pso,4.17826,0.731416,1.0,0.0,1.0,0.0078992
gen=888_member=13777_pso,4.74223,1.02573,1.0,0.0,1.0,0.0
gen=889_member=13812_pso,4.92611,1.01203,1.0,0.0,1.0,0.0
gen=889_member=13876_pso,4.89607,1.02014,1.03466,0.0,1.0,0.0
gen=890_member=13906_pso,4.80079,1.08311,1.0,0.0,1.0,0.0
gen=890_member=13950_pso,4.16936,0.751888,1.0,0.0,1.0,0.0
gen=891_member=14005_pso,4.90759,1.04054,1.0,0.0,1.0,0.0
gen=891_member=14008_pso,0.104193,1.92044,1.0,0.0,1.0,0.0
gen=891_member=14010_pso,4.84427,1.00268,1.0,0.0,1.0,0.0
gen=891_member=14033_pso,4.04683,0.776602,1.0,0.0,1.0,0.0
gen=891_member=14058_pso,4.15035,0.831488,1.0,0.0,1.0,0.00336775
gen=891_member=14063_pso,4.65398,0.969093,1.0,0.0,1.0,0.0
gen=892_member=14105_pso,0.797061,1.24603,1.0,0.0,1.0,0.00581831
gen=892_member=14126_pso,4.89896,1.05,1.03354,0.0,1.0,0.0
gen=893_member=14237_pso,4.03036,0.705434,1.0,0.0,1.0,0.165916
gen=893_member=14253_pso,4.69746,0.908121,1.0,0.0,1.0,0.0
gen=893_member=14272_pso,4.2227,0.762505,1.0,0.0,1.0,0.0
gen=893_member=14285_pso,4.66698,0.951576,1.0,0.0,1.0,0.0
gen=893_member=14286_pso,4.84661,0.957753,1.0,0.0,1.0,0.0
gen=893_member=14294_pso,4.85514,1.06625,1.0,0.0,1.0,0.0
gen=894_member=14320_pso,4.2358,0.825122,1.0,0.0,1.0,0.0
gen=894_member=14358_pso,4.7982,0.965629,1.0,0.0,1.0,0.00990372
gen=894_member=14367_pso,4.26098,0.776867,1.0,0.0,1.0,0.0115737
gen=894_member=14376_pso,4.14996,0.819223,1.0,0.0,1.0,0.0
gen=894_member=14381_pso,4.32974,0.865064,1.0,0.0,1.0,0.0
gen=895_member=14418_pso,4.44168,0.973721,1.0,0.0,1.0,0.0
gen=895_member=14419_pso,4.09224,0.739654,1.0,0.0,1.0,0.0
gen=895_member=14435_pso,4.68738,0.923491,1.0,0.0,1.0,0.0
gen=895_member=14446_pso,4.87484,0.961797,1.0,0.0,1.0,0.0
gen=895_member=14477_pso,4.3894,0.812228,1.0,0.0,1.0,0.000226402
gen=895_member=14490_pso,4.97349,0.995933,1.0,0.0,1.0,0.0
gen=895_member=14494_pso,4.59919,0.920532,1.0,0.0,1.0,0.00409867
gen=895_member=14499_pso,4.26128,0.754478,1.0,0.0,1.0,0.0
gen=896_member=14534_pso,4.66529,0.958579,2.94811,1.17351,1.0,5.46421
gen=896_member=14538_pso,4.55138,0.852586,1.0,0.0,1.0,0.0
gen=896_member=14551_pso,4.74074,1.0694,1.0,0.0,1.0,0.0
gen=896_member=14574_pso,4.55537,0.871575,1.0,0.0,1.0,0.0
gen=896_member=14576_pso,4.78279,0.941407,1.0,0.0,1.0,0.0
gen=896_member=14584_pso,4.59232,0.869367,1.0,0.0,1.0,0.00175868
gen=896_member=14586_pso,4.45665,0.876021,1.0,0.0,1.0,0.0
gen=896_member=14593_pso,4.09236,0.804705,1.0,0.0,1.0,0.0
gen=896_member=14596_pso,4.73679,1.03374,1.0,0.0,1.0,0.0
gen=897_member=14616_pso,4.542,0.870826,1.0,0.0,1.0,0.00242876
gen=897_member=14656_pso,4.72519,0.916207,1.0,0.0,1.0,0.0
gen=897_member=14670_pso,4.50203,0.974828,1.0,0.0,1.0,0.0
gen=897_member=14671_pso,4.19231,0.744602,1.0,0.0,1.0,0.00942261
gen=897_member=14676_pso,4.10012,0.797193,1.0,0.0,1.0,0.00119936
gen=897_member=14682_pso,4.28244,0.830891,1.0,0.0,1.0,0.0
gen=897_member=14692_pso,4.91186,0.980006,1.0,0.0,1.0,0.0
gen=897_member=14698_pso,4.47173,0.867399,1.0,0.0,1.0,0.0
gen=898_member=14754_pso,4.19662,0.822606,1.0,0.0,1.0,0.0
gen=898_member=14755_pso,4.45187,0.917873,1.0,0.0,1.0,0.00992598
gen=898_member=14756_pso,4.88369,1.04333,1.0,0.0,1.0,0.0
gen=898_member=14760_pso,4.92504,1.02468,1.0,0.0,1.0,0.0
gen=898_member=14787_pso,4.23914,0.826983,1.0,0.0,1.0,0.0
gen=898_member=14799_pso,4.40751,0.888416,1.0,0.0,1.0,0.0
gen=899_member=14873_pso,4.81832,1.00516,1.0,0.0,1.0,0.0
gen=899_member=14876_pso,4.67205,0.984959,1.0,0.0,1.0,0.0
gen=899_member=14889_pso,4.81189,1.14437,3.15479,0.851594,1.0,3.10214
gen=899_member=14893_pso,4.88621,0.997665,1.0,0.0,1.0,0.0
gen=899_member=14894_pso,4.64227,0.891851,3.14829,1.17796,1.0,5.32148
gen=899_member=14899_pso,4.13432,0.767737,1.0,0.0,1.0,0.0078753
gen=900_member=14953_pso,4.77784,0.973333,1.0,0.0,1.0,5.07853e-05
gen=900_member=14973_pso,4.93905,0.98029,1.0,0.0,1.0,0.0
gen=900_member=14978_pso,4.61505,0.875496,1.0,0.0,1.0,0.0
gen=900_member=14996_pso,4.75907,1.00824,1.0,0.0,1.0,0.0
