generation,member,obj_1,obj_2,obj_1_sd,obj_2_sd,obj_1_sd_syn,obj_2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
150,gen=867_member=11686_pso,-109.886,5.79394,0.320351,0.0273634,2.3117,0.705198,1,1.0,0,0.0452578,0.0452578,1,-999
150,gen=521_member=7049_pso,-241.321,27.9561,0.001,0.001,2.3117,0.705198,1,1.0,0,0.0652942,0.0652942,1,-999
150,gen=872_member=12111_pso,-55.4349,4.17821,0.319515,0.028851,2.3117,0.705198,1,1.0,0,0.0405011,0.0405011,1,-999
150,gen=889_member=13876_pso,-226.595,27.0756,1.08775,0.110344,2.3117,0.705198,1,1.0,0,0.0828025,0.0828025,1,-999
150,gen=891_member=14058_pso,-133.045,19.9141,0.551282,0.0621253,2.3117,0.705198,1,1.0,0,0.0849225,0.0849225,1,-999
150,gen=887_member=13639_pso,-115.909,5.99364,0.31249,0.0246416,2.3117,0.705198,1,1.0,0,0.0515798,0.0515798,1,-999
150,gen=891_member=14033_pso,-122.325,19.0045,0.611382,0.0605879,2.3117,0.705198,1,1.0,0,0.0605692,0.0605692,1,-999
150,gen=900_member=14978_pso,-188.129,24.0577,0.684094,0.0680119,2.3117,0.705198,1,1.0,0,0.0774706,0.0774706,1,-999
150,gen=264_member=11323_pso,-99.6035,5.39392,0.001,0.001,2.3117,0.705198,1,1.0,0,0.0469034,0.0469034,1,-999
150,gen=897_member=14671_pso,-137.69,20.1197,0.548144,0.0644479,2.3117,0.705198,1,1.0,0,0.0829174,0.0829174,1,-999
150,gen=876_member=12543_pso,-147.96,21.022,0.626465,0.0599125,2.3117,0.705198,1,1.0,0,0.0844204,0.0844204,1,-999
150,gen=842_member=9176_pso,-59.3768,4.17701,0.343313,0.0306323,2.3117,0.705198,1,1.0,0,0.0481931,0.0481931,1,-999
