real_name,obj_1,obj_2,obj_1_sd,obj_2_sd,g1,g2,g3,g4,g5,g6,pf_g1,pf_g2,pf_g3,pf_g4,pf_g5,pf_g6
gen=141_member=14036_pso,-53.5312,4.7516,0.001,0.001,0.086121,3.91388,1.47926,5.1276,0,0.663375,1,1,1,1,1,1
gen=123_member=12225_pso,-249.016,45.1132,0.001,0.001,3.98641,0.01359,5.96445,0.05751,2.381,0.287794,1,1,1,1,1,1
gen=84_member=8365_pso,-61.9466,11.563,0.001,0.001,1.0331,2.9669,0.294239,8.44462,3.15296,0.428211,1,1,1,1,1,1
gen=43_member=4265_pso,-112.25,18.942,0.001,0.001,2.64085,1.35915,5.24863,0.143581,0,0.946838,1,1,1,1,1,1
gen=108_member=10779_pso,-240.985,37.0102,0.001,0.001,3.99402,0.00598,5.92862,0.13678,3.96233,0.356064,1,1,1,1,1,1
gen=92_member=9176_pso,-158.973,23.1536,0.001,0.001,3.32225,0.677755,5.44125,0.439735,0.682466,0.82479,1,1,1,1,1,1
gen=105_member=10481_pso,-140.151,21.2454,0.001,0.001,3.13713,0.862867,5.29877,0.539599,0,0.780649,1,1,1,1,1,1
gen=86_member=8507_pso,-239.693,28.1766,0.001,0.001,3.99605,0.00395,5.97341,0.04923,0,0.553469,1,1,1,1,1,1
gen=141_member=14016_pso,-246.388,43.2846,0.001,0.001,3.96237,0.037634,5.97041,0.021538,2.8662,0.323993,1,1,1,1,1,1
gen=150_member=14990_pso,-57.9925,10.3824,0.001,0.001,0.456906,3.54309,1.00571,6.44549,3.50329,0.775798,1,1,1,1,1,1
gen=135_member=13418_pso,-191.538,24.6517,0.001,0.001,3.5687,0.431298,5.71354,0.141626,0,0.501311,1,1,1,1,1,1
gen=53_member=5238_pso,-121.061,19.0751,0.001,0.001,2.73064,1.26936,5.33608,0.058483,0,0.566501,1,1,1,1,1,1
gen=135_member=13447_pso,-228.462,27.2841,0.001,0.001,3.9011,0.098901,5.9154,0.070297,0,0.455416,1,1,1,1,1,1
gen=114_member=11319_pso,-199.207,25.1077,0.001,0.001,3.59914,0.400861,5.79714,0.004857,0,0.472638,1,1,1,1,1,1
gen=67_member=6619_pso,-208.974,25.9306,0.001,0.001,3.7962,0.2038,5.7467,0.3028,0,0.337258,1,1,1,1,1,1
gen=94_member=9303_pso,-214.223,26.78,0.001,0.001,3.77769,0.22231,5.83769,0.10231,1.07453,0.249264,1,1,1,1,1,1
gen=148_member=14775_pso,-236.33,27.8927,0.001,0.001,3.95156,0.048442,5.97208,0.007394,0,0.541706,1,1,1,1,1,1
gen=85_member=8444_pso,-192.939,24.6877,0.001,0.001,3.56551,0.434485,5.73747,0.090585,0,0.464618,1,1,1,1,1,1
gen=119_member=11855_pso,-213.644,26.2637,0.001,0.001,3.7653,0.234703,5.84276,0.079771,0,0.51087,1,1,1,1,1,1
