real_name,x1,x2,x3,x4,x5,x6
gen=0_member=90,4.69111,1.13513,2.06678,2.619,4.54036,6.02175
gen=0_member=10,2.55412,0.601225,2.13474,1.46438,1.88119,5.09512
gen=0_member=9,2.296,3.01863,2.16178,0.454713,2.38698,7.47475
gen=0_member=15,9.81172,2.93108,4.41947,5.25237,3.15924,4.82141
gen=0_member=18,8.91181,0.0489704,4.32857,0.341192,2.54008,2.75541
gen=0_member=31,5.91775,3.41101,2.32159,4.71117,2.7555,1.9115
gen=0_member=36,9.31981,3.65761,4.11473,0.291771,3.59527,1.55236
gen=0_member=63,8.49906,1.25713,1.34434,2.30341,2.86771,1.82243
gen=0_member=64,9.92366,7.9682,3.90231,2.40424,1.82578,5.70079
gen=0_member=67,9.75165,2.1811,4.76874,0.504545,3.23974,0.428637
gen=0_member=72,5.83367,2.88856,4.02851,1.26393,1.29909,3.6094
gen=0_member=73,7.34614,0.491723,2.56329,3.87214,3.6438,1.68628
gen=43_member=4265_pso,3.94474,0.696107,1.0,0.0,1.0,0.946838
gen=51_member=5084_pso,0.0,1.95853,1.0,0.0,1.0,0.361828
gen=52_member=5190_pso,0.0,1.96661,1.0,0.0,1.0,0.271086
gen=53_member=5238_pso,4.03336,0.697281,1.0,0.0,1.0,0.566501
gen=53_member=5241_pso,1.29703,2.21374,1.0,0.0,1.0,0.335894
gen=67_member=6619_pso,4.77145,1.02475,1.0,0.0,1.0,0.337258
gen=69_member=6818_pso,4.66126,0.874578,1.0,0.0,1.0,0.410347
gen=73_member=7238_pso,4.99779,0.995845,1.39616,0.0,1.0,0.416261
gen=80_member=7926_pso,4.67846,0.890479,1.0,0.0,1.0,0.411408
gen=81_member=8088_pso,4.92198,1.0589,2.96381,0.0,1.0,0.356604
gen=83_member=8226_pso,4.95724,0.984341,1.0,0.0,1.0,1.01749
gen=83_member=8250_pso,0.0,1.93859,1.0,0.0,1.0,0.30438
gen=84_member=8365_pso,0.663669,2.36943,2.07965,0.0,1.0,0.428211
gen=85_member=8444_pso,4.65149,0.914025,1.0,0.0,1.0,0.464618
gen=86_member=8507_pso,4.98473,1.01132,1.0,0.0,1.0,0.553469
gen=87_member=8661_pso,5.01487,0.998154,2.79713,0.0,1.0,0.324137
gen=88_member=8750_pso,4.08086,1.07917,2.32609,0.0,1.0,1.38427
gen=88_member=8787_pso,4.91818,1.00282,4.13193,0.0,1.0,0.441905
gen=91_member=9015_pso,3.65968,1.99473,2.04343,0.0,1.0,0.856205
gen=92_member=9176_pso,4.38175,0.940495,1.17859,0.0,1.0,0.82479
gen=94_member=9303_pso,4.80769,0.97,1.2896,0.0,1.0,0.249264
gen=95_member=9431_pso,4.3773,1.18031,2.65431,0.0,1.0,0.65499
gen=95_member=9465_pso,0.0,1.98818,1.0,0.0,1.0,0.354179
gen=95_member=9493_pso,4.33396,1.08852,2.64319,0.0,1.0,1.10316
gen=99_member=9867_pso,4.94368,1.01044,4.34399,0.0,1.0,0.330045
gen=99_member=9879_pso,4.87824,1.06438,2.88796,0.0,1.0,0.368109
gen=99_member=9892_pso,4.90567,0.996084,3.16989,0.0,1.0,0.198888
gen=101_member=10085_pso,1.37509,1.64717,1.0,0.0,1.0,1.1127
gen=102_member=10112_pso,0.839281,2.13751,1.85764,0.0,1.0,0.794267
gen=105_member=10481_pso,4.21795,0.919183,1.0,0.0,1.0,0.780649
gen=106_member=10525_pso,1.28039,1.73707,1.0,0.0,1.0,1.15703
gen=106_member=10571_pso,3.83449,1.02833,1.54746,0.0,1.0,2.50299
gen=108_member=10779_pso,4.96132,1.0327,3.19409,0.0,1.0,0.356064
gen=108_member=10782_pso,4.6104,0.86886,2.45159,0.0,1.0,1.13657
gen=109_member=10820_pso,0.0,2.02445,3.39238,0.0,1.0,0.401989
gen=111_member=11058_pso,0.0,2.05378,3.43129,0.0,1.0,0.207737
gen=112_member=11132_pso,4.41794,1.24148,2.48298,0.0,1.0,0.949963
gen=113_member=11226_pso,0.0,2.02864,3.29134,0.0,1.0,0.491877
gen=114_member=11319_pso,4.69814,0.900999,1.0,0.0,1.0,0.472638
gen=114_member=11339_pso,4.6561,1.25123,2.36243,0.0,1.0,1.44114
gen=114_member=11394_pso,4.16684,0.917242,2.48914,0.0,1.0,1.0248
gen=114_member=11399_pso,0.981361,1.57485,1.91094,0.0,1.0,0.529529
gen=116_member=11578_pso,1.10386,2.22718,1.0,0.0,1.0,0.461863
gen=116_member=11597_pso,4.16383,1.64797,1.396,0.0,1.0,2.40017
gen=118_member=11700_pso,4.97757,0.988504,1.0,0.0,1.0,0.176558
gen=118_member=11798_pso,4.94644,0.997074,3.04151,0.0,1.0,0.878774
gen=119_member=11855_pso,4.80403,0.961267,1.0,0.0,1.0,0.51087
gen=121_member=12096_pso,0.0,1.96031,1.0,0.0,1.0,0.289292
gen=122_member=12138_pso,4.79095,0.972048,2.34789,0.0,1.0,1.72829
gen=123_member=12225_pso,4.97543,1.01098,4.2724,0.0,1.0,0.287794
