real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=0_member=0,-4.258994018,-4.736239492,-0.176858633,-2.866543129,-0.420106293,-2.190405601,-0.13663253,-4.399502837,1.93011804,0.119276921
gen=0_member=1,-1.460693615,-4.098492438,-2.072050289,-3.863704066,-2.889846553,-2.748884706,-2.631484125,-1.110131628,3.925990323,3.599902846
gen=0_member=2,-2.438793581,-3.715170442,-3.582228438,-1.431422985,-2.804787382,-4.726621759,-2.203814836,-3.635816729,5.610043536,1.849675798
gen=0_member=3,-1.655185952,-3.206328688,-3.080581829,-1.066886409,-3.173930447,-1.478936827,-1.563547924,-0.187625837,2.873717065,1.754167538
gen=0_member=4,-0.390659191,-0.933234582,-1.27765699,-2.950214442,-4.642206321,-1.123274373,-2.990209099,-3.406702398,2.68754346,4.012346735
gen=0_member=5,-2.968136275,-3.981269754,-2.466714753,-0.082133355,-0.46547999,-3.516546704,-2.338712385,-0.565375865,1.305629504,6.45148505
gen=0_member=6,-0.240713356,-0.817070169,-1.747088517,-4.256762458,-3.512872374,-0.240961142,-4.491169529,-4.60363571,0.94918773,5.190010271
gen=0_member=7,-2.832152949,-4.558915982,-4.25351245,-2.770355893,-3.996635226,-2.022441923,-0.774368413,-1.567257674,3.047147363,0.789305567
gen=0_member=8,-4.732890132,-2.487019993,-3.771380019,-3.065088025,-0.614758041,-1.621589079,-1.816079972,-3.987817456,5.40034157,2.518208089
gen=0_member=9,-1.765009813,-1.431092296,-3.160628483,-1.780270478,-4.440296418,-4.476176547,-0.994282883,-4.04587877,4.895501034,5.409573943
gen=0_member=10,-0.21193398,-4.233998693,-1.501542247,-3.706150347,-1.663421791,-1.768482903,-1.629939285,-1.73891792,1.753549125,3.120317646
gen=0_member=11,-3.851904584,-0.207290327,-1.094849036,-1.278129162,-1.360025612,-0.75840769,-4.62407319,-1.874891704,5.311548433,2.072815976
gen=0_member=12,-4.399408428,-2.850586496,-0.70784556,-1.999140676,-0.094452842,-2.974127983,-0.293784444,-2.644901853,1.665856616,2.38933916
gen=0_member=13,-3.760500292,-2.298949291,-0.409118674,-1.112420504,-0.549219105,-3.997853538,-3.186266472,-3.208279262,2.541372017,5.620003323
gen=0_member=14,-3.557523391,-2.465579677,-3.637389722,-0.775525835,-2.132255308,-4.657996098,-2.76141045,-2.078623491,3.43294012,5.846054926
gen=0_member=15,-4.023750874,-0.126688094,-1.96971757,-0.226566544,-1.026517408,-2.318186078,-2.100556824,-0.240345201,6.501849055,0.502208262
gen=0_member=16,-2.122645049,-2.401955008,-1.814999316,-3.272740064,-0.981726404,-1.8867836,-3.088565137,-2.417407806,1.201250754,5.768247087
gen=0_member=17,-3.284901836,-0.978873716,-3.226564337,-4.469598343,-1.635081642,-4.100979529,-2.056462717,-2.253409803,2.016059664,4.647585487
gen=0_member=18,-3.252644664,-3.132593428,-3.711002547,-3.404996883,-3.1950345,-3.063510469,-4.199107394,-3.479106511,3.667558995,2.88894756
gen=0_member=19,-4.520083626,-3.868682715,-4.350091257,-3.671649818,-3.381992409,-3.011772524,-4.402186473,-1.004675155,4.485904939,6.595129574
gen=0_member=20,-3.139570799,-3.539755009,-2.345727041,-2.489464353,-3.517223979,-0.98687554,-3.513199438,-2.602431601,0.15459646,5.266553039
gen=0_member=21,-3.567358877,-2.559690295,-4.53863695,-0.454830549,-4.290028131,-3.363375558,-1.872239383,-3.899675374,3.254873608,3.870132277
gen=0_member=22,-1.996366361,-4.342462166,-3.421600865,-1.737541073,-3.012934544,-1.250468104,-0.075668146,-3.678143616,5.517889051,6.733413355
gen=0_member=23,-2.566933697,-4.17156741,-2.207410769,-3.420942846,-3.090662455,-2.888552877,-4.36896963,-0.843273868,5.223396061,4.83446493
gen=0_member=24,-3.054497521,-1.770044089,-1.213397488,-0.488834023,-3.29218994,-3.921013586,-1.784765851,-2.09313498,3.574470392,3.384577024
gen=0_member=25,-0.533530267,-3.504000182,-4.672149022,-0.363575659,-0.878496478,-2.795399153,-4.28640212,-1.691908013,2.656124158,1.390305602
gen=0_member=26,-2.912424269,-0.457930186,-0.781474978,-4.197704408,-2.248088068,-3.432400825,-1.914627113,-3.771163048,6.062089325,5.038651432
gen=0_member=27,-2.875128683,-0.504651921,-4.111959193,-3.507381044,-0.804599364,-2.599824827,-2.270077518,-2.798266848,3.299350953,0.47565693
gen=0_member=28,-1.99038964,-0.054303312,-0.249686731,-0.408918504,-0.814505162,-0.160091186,-2.666809293,-3.029798557,2.22679215,0.981857263
gen=0_member=29,-0.120690878,-0.76336019,-0.334315905,-1.548715393,-1.19960612,-3.477963947,-4.252144748,-4.14787135,5.789538471,6.658830519
gen=0_member=30,-1.844025749,-4.503624396,-2.14366945,-0.931676171,-3.719776298,-1.544834332,-0.917738757,-0.325339282,5.078715817,4.121953796
gen=0_member=31,-0.330116153,-3.363766206,-0.010556556,-4.057660259,-2.925022773,-0.443218726,-1.974371604,-2.962678235,3.889208355,5.535291178
gen=0_member=32,-0.475805776,-4.180215363,-2.296335818,-0.832284789,-2.469979598,-3.71105774,-2.82098352,-2.280092195,0.10459174,3.78662545
