real_name,mean_conc,salinity,total_pump_rate,allow_ar,wetland_dd
gen=12_member=1113_pso,0.197115,0.197115,30,1,6.58492
gen=13_member=1281_pso,9.70908e-05,9.70908e-05,30,1,5.65712
gen=12_member=1199_pso,0.176819,0.176819,30,1,6.55288
gen=13_member=1246_pso,0.0309368,0.0309368,30,1,6.19135
gen=11_member=1021_pso,0.157789,0.157789,30,1,6.52519
gen=12_member=1147_pso,0.0188277,0.0188277,30,1,6.1212
gen=12_member=1114_pso,0.0410397,0.0410397,30,1,6.24018
gen=12_member=1123_pso,0.0480505,0.0480505,30,1,6.27039
gen=13_member=1238_pso,0.00879478,0.00879478,30,1,6.00776
gen=13_member=1244_pso,0.164038,0.164038,30,1,6.53643
gen=13_member=1220_pso,0.152795,0.152795,30,1,6.51662
gen=12_member=1164_pso,0.0924292,0.0924292,30,1,6.39662
gen=12_member=1134_pso,0.0991341,0.0991341,30,1,6.41061
gen=13_member=1214_pso,0.135677,0.135677,30,1,6.48718
gen=12_member=1118_pso,0.10788,0.10788,30,1,6.43213
gen=12_member=1112_pso,0.0846035,0.0846035,30,1,6.37189
gen=12_member=1126_pso,0.0738018,0.0738018,30,1,6.35554
gen=13_member=1265_pso,0.0550761,0.0550761,30,1,6.29513
gen=12_member=1174_pso,0.140237,0.140237,30,1,6.49791
gen=13_member=1231_pso,0.0448758,0.0448758,30,1,6.25659
gen=13_member=1273_pso,0.14666,0.14666,30,1,6.50788
gen=13_member=1206_pso,0.019644,0.019644,30,1,6.12646
gen=11_member=1082_pso,0.113345,0.113345,30,1,6.43788
gen=13_member=1251_pso,0.171993,0.171993,30,1,6.54405
gen=13_member=1274_pso,0.0682566,0.0682566,30,1,6.33272
gen=12_member=1191_pso,0.149045,0.149045,30,1,6.50833
gen=11_member=1012_pso,0.105581,0.105581,30,1,6.42356
gen=13_member=1260_pso,0.0883307,0.0883307,30,1,6.38625
gen=11_member=1073_pso,0.02519,0.02519,30,1,6.15902
gen=13_member=1225_pso,0.123873,0.123873,30,1,6.46634
gen=13_member=1284_pso,0.127877,0.127877,30,1,6.46997
gen=13_member=1210_pso,0.167877,0.167877,30,1,6.53972
gen=13_member=1293_pso,0.0807083,0.0807083,30,1,6.37174
gen=13_member=1232_pso,0.0601939,0.0601939,30,1,6.31037
gen=13_member=1218_pso,0.0559645,0.0559645,30,1,6.29892
gen=13_member=1282_pso,0.0640186,0.0640186,30,1,6.32541
gen=12_member=1151_pso,0.117098,0.117098,30,1,6.44045
gen=13_member=1234_pso,0.142563,0.142563,30,1,6.50137
gen=13_member=1222_pso,0.0676573,0.0676573,30,1,6.33378
gen=12_member=1171_pso,0.0904487,0.0904487,30,1,6.39048
gen=13_member=1208_pso,0.102019,0.102019,30,1,6.42047
gen=13_member=1299_pso,0.131895,0.131895,30,1,6.48049
gen=11_member=1051_pso,0.119033,0.119033,30,1,6.45365
gen=12_member=1104_pso,0.0415451,0.0415451,30,1,6.24376
gen=12_member=1115_pso,0.129476,0.129476,30,1,6.47046
gen=12_member=1148_pso,0.114182,0.114182,30,1,6.44366
gen=13_member=1235_pso,0.120995,0.120995,30,1,6.45878
gen=13_member=1224_pso,0.076614,0.076614,30,1,6.36233
gen=12_member=1110_pso,0.062629,0.062629,30,1,6.32044
gen=13_member=1216_pso,0.122102,0.122102,30,1,6.46139
gen=12_member=1107_pso,0.169485,0.169485,30,1,6.5421
gen=13_member=1213_pso,0.078637,0.078637,30,1,6.36515
gen=13_member=1211_pso,0.0290194,0.0290194,30,1,6.18327
gen=11_member=1043_pso,0.170596,0.170596,30,1,6.54145
gen=13_member=1207_pso,0.0071274,0.0071274,30,1,5.98407
gen=12_member=1127_pso,0.0611264,0.0611264,30,1,6.31431
gen=11_member=1095_pso,0.131703,0.131703,30,1,6.47555
gen=12_member=1109_pso,0.0268754,0.0268754,30,1,6.17375
gen=13_member=1262_pso,0.100974,0.100974,30,1,6.4187
gen=11_member=1014_pso,0.142307,0.142307,30,1,6.49838
gen=13_member=1257_pso,0.0754687,0.0754687,30,1,6.35614
gen=13_member=1248_pso,0.025479,0.025479,30,1,6.16151
gen=13_member=1223_pso,0.0792398,0.0792398,30,1,6.36993
gen=13_member=1292_pso,0.00855159,0.00855159,30,1,6.00309
gen=13_member=1239_pso,0.0278461,0.0278461,30,1,6.17607
gen=13_member=1261_pso,0.00219711,0.00219711,30,1,5.8617
gen=13_member=1241_pso,0.00533336,0.00533336,30,1,5.95373
gen=13_member=1221_pso,0.00607658,0.00607658,30,1,5.9616
gen=12_member=1133_pso,0.0756505,0.0756505,30,1,6.3554
gen=13_member=1212_pso,0.00129779,0.00129779,30,1,5.82171
gen=13_member=1215_pso,0.10149,0.10149,30,1,6.41922
gen=11_member=1049_pso,0.00449963,0.00449963,30,1,5.93454
gen=12_member=1140_pso,0.00279134,0.00279134,30,1,5.88694
gen=13_member=1202_pso,0.0550769,0.0550769,30,1,6.29712
gen=13_member=1297_pso,0.00365168,0.00365168,30,1,5.91725
gen=11_member=1031_pso,0.00583262,0.00583262,30,1,5.95302
gen=12_member=1158_pso,0.0284182,0.0284182,30,1,6.18264
gen=12_member=1102_pso,0.00430075,0.00430075,30,1,5.9268
gen=13_member=1255_pso,0.00377822,0.00377822,30,1,5.92051
gen=13_member=1298_pso,0.0791782,0.0791782,30,1,6.37
gen=13_member=1256_pso,0.00265034,0.00265034,30,1,5.8789
gen=12_member=1155_pso,0.0282918,0.0282918,30,1,6.17612
gen=13_member=1285_pso,0.000387444,0.000387444,30,1,5.73254
gen=13_member=1280_pso,0.000723497,0.000723497,30,1,5.77753
gen=13_member=1242_pso,0.00113615,0.00113615,30,1,5.81173
gen=13_member=1283_pso,0.000500919,0.000500919,30,1,5.74948
gen=13_member=1272_pso,0.00864132,0.00864132,30,1,6.00566
gen=13_member=1294_pso,0.00093951,0.00093951,30,1,5.79664
