time,WL_11,WL_12,WL_13,WL_14,WL_15,WL_16,WL_17,WL_18,WL_19,WL_20,WL_21,WL_22,WL_23,WL_24,WL_25,WL_26,WL_27,WL_28,WL_29,WL_30,WL_31,WL_32,WL_33,WL_34,WL_35
1460.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.65084E-28,0.61970E-28,0.56628E-28,0.51426E-28,0.46353E-28,0.41424E-28,0.36673E-28,0.32140E-28,0.27863E-28,0.23880E-28,0.20218E-28,0.16898E-28,0.13927E-28,0.11303E-28,0.90098E-29,0.70262E-29
2920.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.67319E-07,0.67063E-07,0.65700E-07,0.63453E-07,0.60390E-07,0.56601E-07,0.52195E-07,0.47297E-07,0.42052E-07,0.36613E-07,0.31142E-07,0.25804E-07,0.20758E-07,0.15965E-07,0.11752E-07,0.82151E-08
4380.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.27273E-04,0.27214E-04,0.26749E-04,0.25928E-04,0.24771E-04,0.23311E-04,0.21588E-04,0.19648E-04,0.17548E-04,0.15348E-04,0.13115E-04,0.10917E-04,0.88239E-05,0.67558E-05,0.49261E-05,0.33883E-05
5840.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.35754E-03,0.35688E-03,0.35102E-03,0.34045E-03,0.32547E-03,0.30648E-03,0.28400E-03,0.25865E-03,0.23116E-03,0.20234E-03,0.17305E-03,0.14419E-03,0.11668E-03,0.89796E-04,0.65838E-04,0.45576E-04
7300.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.25402E-02,0.25358E-02,0.24947E-02,0.24201E-02,0.23141E-02,0.21796E-02,0.20201E-02,0.18402E-02,0.16450E-02,0.14402E-02,0.12319E-02,0.10266E-02,0.83080E-03,0.63944E-03,0.46891E-03,0.32468E-03
8760.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.11114E-01,0.11095E-01,0.10916E-01,0.10590E-01,0.10127E-01,0.95378E-02,0.88397E-02,0.80520E-02,0.71972E-02,0.63004E-02,0.53887E-02,0.44902E-02,0.36336E-02,0.27963E-02,0.20504E-02,0.14195E-02
10220.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.34534E-01,0.34477E-01,0.33922E-01,0.32909E-01,0.31467E-01,0.29633E-01,0.27460E-01,0.25009E-01,0.22350E-01,0.19561E-01,0.16727E-01,0.13936E-01,0.11276E-01,0.86757E-02,0.63609E-02,0.44044E-02
11680.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.81400E-01,0.81267E-01,0.79955E-01,0.77555E-01,0.74135E-01,0.69790E-01,0.64644E-01,0.58845E-01,0.52561E-01,0.45979E-01,0.39300E-01,0.32730E-01,0.26479E-01,0.20376E-01,0.14948E-01,0.10363E-01
13140.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14531,0.14507,0.14271,0.13838,0.13221,0.12439,0.11514,0.10474,0.93489E-01,0.81740E-01,0.69848E-01,0.58175E-01,0.47070E-01,0.36156E-01,0.26547E-01,0.18456E-01
14600.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.19756,0.19724,0.19400,0.18805,0.17958,0.16885,0.15619,0.14199,0.12668,0.11074,0.94649E-01,0.78896E-01,0.63897E-01,0.49195E-01,0.36288E-01,0.25422E-01
16060.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.19988,0.19959,0.19633,0.19034,0.18181,0.17101,0.15829,0.14404,0.12871,0.11277,0.96713E-01,0.81037E-01,0.65302E-01,0.50799E-01,0.37979E-01,0.27091E-01
17520.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.16800,0.16778,0.16515,0.16028,0.15334,0.14454,0.13418,0.12256,0.11006,0.97047E-01,0.83900E-01,0.70974E-01,0.57772E-01,0.45658E-01,0.34885E-01,0.25614E-01
18980.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14822,0.14807,0.14588,0.14178,0.13591,0.12847,0.11969,0.10985,0.99249E-01,0.88199E-01,0.76986E-01,0.65114E-01,0.53812E-01,0.43339E-01,0.33888E-01,0.25597E-01
20440.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14005,0.13993,0.13796,0.13424,0.12891,0.12213,0.11414,0.10515,0.95463E-01,0.85347E-01,0.74526E-01,0.63794E-01,0.53393E-01,0.43634E-01,0.34723E-01,0.26779E-01
21900.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.13981,0.13972,0.13783,0.13426,0.12911,0.12257,0.11484,0.10615,0.96754E-01,0.86900E-01,0.76095E-01,0.65452E-01,0.55211E-01,0.45571E-01,0.36699E-01,0.28696E-01
23360.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14049,0.14042,0.13859,0.13511,0.13008,0.12368,0.11609,0.10755,0.98313E-01,0.88611E-01,0.77938E-01,0.67397E-01,0.57217E-01,0.47596E-01,0.38682E-01,0.30568E-01
24820.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14052,0.14046,0.13869,0.13529,0.13038,0.12413,0.11673,0.10842,0.99476E-01,0.89326E-01,0.79035E-01,0.68741E-01,0.58725E-01,0.49196E-01,0.40303E-01,0.32133E-01
26280.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14304,0.14300,0.14124,0.13787,0.13298,0.12675,0.11937,0.11105,0.10201,0.91749E-01,0.81319E-01,0.70953E-01,0.60858E-01,0.51220E-01,0.42182E-01,0.33826E-01
27740.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.14343,0.14340,0.14168,0.13836,0.13354,0.12739,0.12010,0.11187,0.10294,0.92787E-01,0.82454E-01,0.72169E-01,0.62129E-01,0.52513E-01,0.43456E-01,0.35034E-01
