time,WL_01,WL_02,WL_03,WL_04,WL_05,WL_06,WL_07,WL_08,WL_09,WL_10,WL_11,WL_12,WL_13,WL_14,WL_15,WL_16,WL_17,WL_18,WL_19,WL_20,WL_21,WL_22,WL_23,WL_24,WL_25,WL_26,WL_27,WL_28,WL_29,WL_30,WL_31,WL_32,WL_33,WL_34,WL_35
1460.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.66398,0.66400,0.66414,0.66442,0.66482,0.66536,0.66604,0.66689,0.66791,0.66912,0.67056,0.67226,0.67427,0.67667,0.67956,0.68310
2920.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.49774,0.49774,0.49787,0.49812,0.49851,0.49904,0.49971,0.50054,0.50155,0.50276,0.50419,0.50588,0.50788,0.51027,0.51315,0.51669
4380.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.45300,0.45300,0.45312,0.45337,0.45376,0.45428,0.45495,0.45578,0.45679,0.45799,0.45942,0.46111,0.46311,0.46550,0.46838,0.47192
5840.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.44254,0.44253,0.44265,0.44291,0.44329,0.44381,0.44448,0.44531,0.44632,0.44752,0.44895,0.45064,0.45264,0.45503,0.45791,0.46145
7300.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.44040,0.44040,0.44052,0.44077,0.44116,0.44168,0.44235,0.44318,0.44419,0.44539,0.44682,0.44851,0.45051,0.45290,0.45578,0.45932
8760.000000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.43827,0.43827,0.43839,0.43864,0.43902,0.43955,0.44022,0.44105,0.44206,0.44327,0.44470,0.44639,0.44840,0.45079,0.45367,0.45721
10220.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.43533,0.43533,0.43545,0.43571,0.43609,0.43662,0.43730,0.43814,0.43916,0.44037,0.44182,0.44352,0.44554,0.44794,0.45084,0.45439
11680.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.43358,0.43358,0.43371,0.43397,0.43436,0.43490,0.43560,0.43646,0.43750,0.43874,0.44021,0.44194,0.44399,0.44643,0.44936,0.45295
13140.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.43045,0.43045,0.43058,0.43085,0.43127,0.43183,0.43256,0.43346,0.43454,0.43584,0.43736,0.43916,0.44128,0.44378,0.44678,0.45044
14600.00000000,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,-0.10000E+31,0.42639,0.42639,0.42654,0.42683,0.42728,0.42788,0.42866,0.42962,0.43077,0.43215,0.43376,0.43565,0.43787,0.44048,0.44358,0.44735
