real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=0_member=0,-4.05111962,-4.515282213,-3.300811726,-4.184657962,-3.775254365,-3.551901132,-3.617633417,-3.478105626,0.845465888,1.469559162
gen=0_member=1,-4.166460834,-4.440866656,-1.631256256,-4.444613058,-3.014958781,-3.116053912,-4.115151478,-4.494278899,0.412712139,1.079225991
gen=0_member=2,-3.00997991,-2.231883538,-4.464053163,-3.154618351,-4.333404233,-2.609855686,-4.620083547,-4.745645177,6.566789405,1.250580166
gen=0_member=3,-3.872461741,-4.357682816,-3.434070884,-1.994058189,-3.838968559,-4.61394041,-2.871879114,-4.315363291,2.390985985,1.880126454
gen=0_member=4,-4.710736455,-4.515543939,-2.349961113,-3.192081204,-4.40237237,-3.814524842,-4.340100743,-3.3762051,5.875321647,1.449937432
gen=0_member=5,-3.669828429,-4.470424476,-2.41386956,-2.551120756,-4.335261949,-3.119417153,-3.653848784,-4.357074417,1.25966085,5.720552897
gen=0_member=6,-4.220840174,-3.95507601,-4.745435999,-0.080964547,-4.672587731,-3.952948261,-3.837722885,-4.606133031,5.253570995,0.471483599
gen=0_member=7,-3.596519215,-2.813451913,-4.140957036,-4.025668878,-4.535704117,-4.225850451,-4.459053586,-2.23643297,2.214706717,0.419080946
gen=0_member=8,-3.918380515,-3.254225364,-3.093830994,-2.470600884,-4.060820369,-3.779145211,-3.756737181,-4.723101512,3.418393251,2.010345679
gen=0_member=9,-4.682163011,-4.10231103,-4.454795853,-1.745355108,-2.740317421,-4.402900996,-3.588325516,-4.137312032,3.791026426,1.859198624
gen=0_member=10,-4.257023925,-4.024989856,-2.677611305,-4.414945895,-2.747787535,-4.629317792,-3.773287552,-4.064755425,5.140344825,1.563777335
gen=0_member=11,-2.960670278,-3.955554256,-3.777319228,-3.223291634,-4.615492916,-3.374033916,-2.629354256,-4.212848352,2.433198252,2.11204104
gen=0_member=12,-4.609931802,-1.587488264,-4.743636216,-4.42984108,-3.064755295,-4.174277138,-3.709386328,-3.456950677,1.612736412,4.443610493
gen=0_member=13,-4.369828677,-2.899633157,-3.227869228,-2.921172717,-3.558822853,-3.113848736,-4.678494535,-4.207105925,3.064406088,3.229539175
gen=0_member=14,-3.987102885,-3.856222,-4.469903486,-0.002452449,-3.816377814,-3.491483063,-4.69678052,-4.35258482,2.883392629,4.773745088
gen=0_member=15,-3.955879746,-3.512330636,-4.62918109,-3.900238747,-4.611031657,-3.985534735,-1.691096161,-4.345108255,5.216940855,0.923384059
gen=0_member=16,-4.420578141,-4.227760013,-4.62802049,-1.495631963,-2.440228353,-4.643773844,-2.60899203,-4.602983569,2.411139512,1.137999937
gen=0_member=17,-3.632925935,-4.70374244,-4.265047216,-3.856419014,-0.736038554,-4.568934338,-3.403375881,-4.559728311,2.455235845,5.188451891
gen=0_member=18,-4.627157436,-4.078822171,-2.507482331,-4.342886259,-3.064532681,-3.477849599,-4.269885263,-4.526107987,0.364767552,4.120457288
gen=0_member=19,-3.235482378,-2.456579784,-4.483179742,-4.100517601,-4.433844625,-3.360521991,-3.80509877,-3.303427946,3.498335045,0.141266989
gen=0_member=20,-3.61570344,-2.223349,-3.096984635,-3.285829232,-4.345183684,-4.479188695,-3.54874087,-4.396665414,0.602404171,1.42858674
