generation,member,mean_conc,ar_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=99,0.00743965,8,1,-999,0.368531,0.368531,1,-999
1,gen=1_member=52_pso,0.138075,8,4,-999,367.468,367.468,1,-999
1,gen=1_member=68_pso,0.0149534,8,2,-999,879.496,879.496,1,-999
1,gen=1_member=89_pso,0.059659,8,3,-999,540.486,540.486,1,-999
1,gen=0_member=99,0.00743965,8,1,-999,1043.5,1043.5,1,-999
2,gen=2_member=102_pso,0.0143769,8,11,-999,4096.5,4096.5,1,-999
2,gen=2_member=104_pso,0.145433,8,25,-999,1652.47,1652.47,1,-999
2,gen=2_member=107_pso,0.0909485,8,21,-999,2238.48,2238.48,1,-999
2,gen=2_member=109_pso,0.0314066,8,17,-999,3074.49,3074.49,1,-999
2,gen=2_member=110_pso,0.0175709,8,15,-999,3596.5,3596.5,1,-999
2,gen=2_member=111_pso,0.00742381,7.76629,1,0,4753.45,4753.45,1,-999
2,gen=2_member=115_pso,0.0157081,8,13,-999,3849.5,3849.5,1,-999
2,gen=2_member=119_pso,0.014299,8,10,-999,4218.5,4218.5,1,-999
2,gen=2_member=124_pso,0.00319665,8,6,-999,5021.5,5021.5,1,-999
2,gen=2_member=125_pso,0.00179813,8,5,-999,5439.5,5439.5,1,-999
2,gen=2_member=129_pso,0.00698067,8,7,-999,4688.5,4688.5,1,-999
2,gen=2_member=130_pso,0.0380217,8,18,-999,2938.49,2938.49,1,-999
2,gen=2_member=134_pso,0.000898673,8,4,-999,5638.5,5638.5,1,-999
2,gen=2_member=143_pso,0.010499,8,9,-999,4458.5,4458.5,1,-999
2,gen=2_member=149_pso,0.000645263,8,3,-999,5831.5,5831.5,1,-999
2,gen=2_member=153_pso,0.155566,6.29021,1,1e+30,1899.43,1899.43,1,-999
2,gen=2_member=154_pso,0.000507549,8,1,1e+30,6020.5,6020.5,1,-999
2,gen=2_member=161_pso,0.0172397,8,14,-999,3723.5,3723.5,1,-999
2,gen=2_member=166_pso,0.00052278,8,2,1e+30,5926.5,5926.5,1,-999
2,gen=2_member=168_pso,0.0790459,8,20,-999,2380.49,2380.49,1,-999
2,gen=2_member=172_pso,0.020341,8,16,-999,3467.5,3467.5,1,-999
2,gen=2_member=176_pso,0.199543,7.65297,2,1e+30,1568.42,1568.42,1,-999
2,gen=2_member=185_pso,0.107222,8,22,-999,2093.48,2093.48,1,-999
2,gen=2_member=192_pso,0.124977,8,23,-999,1947.48,1947.48,1,-999
2,gen=0_member=99,0.00743965,8,8,-999,4574.5,4574.5,1,-999
2,gen=1_member=68_pso,0.0149534,8,12,-999,3973.5,3973.5,1,-999
2,gen=1_member=89_pso,0.059659,8,19,-999,2661.49,2661.49,1,-999
2,gen=1_member=52_pso,0.138075,8,24,-999,1800.47,1800.47,1,-999
3,gen=3_member=202_pso,0.00359599,8,17,-999,6513.5,6513.5,1,-999
3,gen=3_member=203_pso,0.000507549,8,2,1e+30,7809.5,7809.5,1,-999
3,gen=3_member=215_pso,0.00793079,8,24,-999,5721.5,5721.5,1,-999
3,gen=3_member=217_pso,0.000578648,8,5,-999,7674.5,7674.5,1,-999
3,gen=3_member=219_pso,0.026625,8,39,-999,3987.5,3987.5,1,-999
3,gen=3_member=220_pso,0.000667708,8,8,-999,7530.5,7530.5,1,-999
3,gen=3_member=224_pso,0.00652098,8,20,-999,6053.5,6053.5,1,-999
3,gen=3_member=227_pso,0.0143137,8,28,-999,5092.5,5092.5,1,-999
3,gen=3_member=229_pso,0.0270126,8,40,-999,3879.5,3879.5,1,-999
3,gen=3_member=230_pso,0.165659,6.19796,1,0.162405,2290.4,2290.4,1,-999
3,gen=3_member=231_pso,0.140806,8,49,-999,2345.48,2345.48,1,-999
3,gen=3_member=233_pso,0.000662558,8,7,-999,7579.5,7579.5,1,-999
3,gen=3_member=234_pso,0.251606,5.9146,1,1e+30,2000.4,2000.4,1,-999
3,gen=3_member=237_pso,0.00451678,8,18,-999,6365.5,6365.5,1,-999
3,gen=3_member=238_pso,0.00821533,8,25,-999,5635.5,5635.5,1,-999
3,gen=3_member=239_pso,0.0155659,8,31,-999,4807.5,4807.5,1,-999
3,gen=3_member=243_pso,0.00504118,7.90808,2,0.0446042,6212.48,6212.48,1,-999
3,gen=3_member=244_pso,0.171712,6.09904,1,0,2290.42,2290.42,1,-999
3,gen=3_member=246_pso,0.0175456,7.27488,1,0.131599,4752.4,4752.4,1,-999
3,gen=3_member=247_pso,0.00194493,8,14,-999,6919.5,6919.5,1,-999
3,gen=3_member=249_pso,0.000895743,8,11,-999,7270.5,7270.5,1,-999
3,gen=3_member=252_pso,0.0201876,8,37,-999,4200.5,4200.5,1,-999
3,gen=3_member=253_pso,0.0363793,6.97884,1,0.451546,3690.38,3690.38,1,-999
3,gen=3_member=257_pso,0.00689292,8,21,-999,5972.5,5972.5,1,-999
3,gen=3_member=259_pso,0.000556971,8,4,-999,7720.5,7720.5,1,-999
3,gen=3_member=261_pso,0.000870789,8,10,-999,7324.5,7324.5,1,-999
3,gen=3_member=263_pso,0.107533,7.36118,2,0.934777,2853.41,2853.41,1,-999
3,gen=3_member=265_pso,0.00050059,8,1,1e+30,7852.5,7852.5,1,-999
3,gen=3_member=270_pso,0.00333395,7.60996,1,0.0604451,6666.42,6666.42,1,-999
3,gen=3_member=278_pso,0.000862321,8,9,-999,7377.5,7377.5,1,-999
3,gen=3_member=280_pso,0.0087516,7.61772,2,0.64562,5696.43,5696.43,1,-999
3,gen=3_member=284_pso,0.130931,6.28752,1,0.514841,2810.4,2810.4,1,-999
3,gen=3_member=285_pso,0.0181522,8,35,-999,4408.5,4408.5,1,-999
3,gen=3_member=288_pso,0.00237791,8,15,-999,6790.5,6790.5,1,-999
3,gen=3_member=292_pso,0.153697,6.41068,2,0,2266.39,2266.39,1,-999
3,gen=3_member=293_pso,0.00483271,8,19,-999,6212.5,6212.5,1,-999
3,gen=3_member=295_pso,0.0183244,8,36,-999,4305.5,4305.5,1,-999
3,gen=3_member=297_pso,0.00236749,7.69187,1,0.0112835,6918.43,6918.43,1,-999
3,gen=3_member=299_pso,0.00052278,8,3,1e+30,7765.5,7765.5,1,-999
3,gen=2_member=153_pso,0.155566,6.29021,2,1e+30,2290.4,2290.4,1,-999
