real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=580_member=27995_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,1.32235,6.61335
gen=878_member=27727_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,6.55692,0
gen=787_member=18687_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,2.34848,4.23668
gen=739_member=13866_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.101931,6.50635
gen=1197_member=29640_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.742794,6.9813
gen=576_member=27554_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,1.25261,6.62548
gen=1788_member=28701_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,6.57779,0
gen=864_member=26330_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.0392722,6.5973
gen=1199_member=29891_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0,7
gen=1797_member=29648_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.0461242,7
gen=1196_member=29562_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.601719,7
gen=900_member=29947_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.105339,6.55548
gen=1193_member=29211_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.505492,7
gen=1193_member=29270_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.632329,7
gen=1198_member=29741_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.667249,7
gen=1195_member=29497_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0,6.67159
gen=1175_member=27471_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.564213,7
gen=1430_member=22933_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0,6.97036
gen=896_member=29592_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0,6.69461
gen=1200_member=29983_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.540357,7
gen=1797_member=29681_pso,-4.75,-4.75,-4.75,0,-4.75,-4.75,0,-4.75,0.17283,7
