real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t
gen=580_member=27995_pso,5.25167e-07,5.25167e-07,28.5,7.9357,5.21876,7.9357
gen=878_member=27727_pso,0.89015,0.89015,28.5,6.55692,5.68975,6.55692
gen=787_member=18687_pso,0.77985,0.77985,28.5,6.58516,5.74348,6.58516
gen=739_member=13866_pso,0.369655,0.369655,28.5,6.60828,5.72656,6.60828
gen=1197_member=29640_pso,9.8132e-06,9.8132e-06,28.5,7.72409,5.28103,7.72409
gen=576_member=27554_pso,1.7445e-06,1.7445e-06,28.5,7.87809,5.23411,7.87809
gen=1788_member=28701_pso,0.868783,0.868783,28.5,6.57779,5.68302,6.57779
gen=864_member=26330_pso,0.331945,0.331945,28.5,6.63657,5.71635,6.63657
gen=1199_member=29891_pso,0.0609282,0.0609282,28.5,7,5.56535,7
gen=1797_member=29648_pso,0.0465507,0.0465507,28.5,7.04612,5.54498,7.04612
gen=1196_member=29562_pso,7.29575e-05,7.29575e-05,28.5,7.60172,5.32204,7.60172
gen=900_member=29947_pso,0.32077,0.32077,28.5,6.66082,5.70477,6.66082
gen=1193_member=29211_pso,0.000358188,0.000358188,28.5,7.50549,5.35703,7.50549
gen=1193_member=29270_pso,4.23788e-05,4.23788e-05,28.5,7.63233,5.31131,7.63233
gen=1198_member=29741_pso,2.24045e-05,2.24045e-05,28.5,7.66725,5.29942,7.66725
gen=1195_member=29497_pso,0.292665,0.292665,28.5,6.67159,5.70272,6.67159
gen=1175_member=27471_pso,0.0001386,0.0001386,28.5,7.56421,5.33558,7.56421
gen=1430_member=22933_pso,0.0751237,0.0751237,28.5,6.97036,5.57769,6.97036
gen=896_member=29592_pso,0.271953,0.271953,28.5,6.69461,5.69306,6.69461
gen=1200_member=29983_pso,0.00020572,0.00020572,28.5,7.54036,5.34422,7.54036
gen=1797_member=29681_pso,0.0188228,0.0188228,28.5,7.17283,5.49066,7.17283
gen=1802_member=146_pso,5.55485e-07,5.55485e-07,28.5441,7.90473,5.24004,7.90473
gen=1200_member=29970_pso,1.27615e-05,1.27615e-05,28.5,7.69674,5.28966,7.69674
gen=1495_member=29437_pso,0.0110898,0.0110898,28.5,7.23213,5.46587,7.23213
gen=1800_member=29971_pso,0.15733,0.15733,28.5,6.83709,5.63345,6.83709
gen=764_member=16320_pso,0.0249953,0.0249953,28.5,7.13666,5.50611,7.13666
gen=1411_member=21079_pso,0.0659593,0.0659593,28.5,6.98917,5.5698,6.98917
gen=1500_member=29908_pso,0.132365,0.132365,28.5,6.87317,5.61846,6.87317
gen=599_member=29807_pso,0.00910873,0.00910873,28.5,7.2521,5.45747,7.2521
gen=768_member=16789_pso,0.0301168,0.0301168,28.5,7.11174,5.51675,7.11174
gen=1200_member=29918_pso,0.00107542,0.00107542,28.5,7.4308,5.38576,7.4308
gen=1152_member=25173_pso,0.299407,0.299407,28.5,6.6669,5.70447,6.6669
gen=1798_member=29714_pso,0.0223168,0.0223168,28.5,7.15143,5.49977,7.15143
gen=1200_member=29963_pso,0.0387682,0.0387682,28.5,7.07528,5.53234,7.07528
gen=1491_member=29030_pso,0.00165248,0.00165248,28.5,7.39908,5.3982,7.39908
gen=879_member=27861_pso,0.327755,0.327755,28.5,6.64308,5.71346,6.64308
gen=1794_member=29304_pso,0.0445003,0.0445003,28.5,7.05359,5.54194,7.05359
gen=1200_member=29943_pso,0.0143067,0.0143067,28.5,7.20446,5.47736,7.20446
gen=1794_member=29315_pso,0.14103,0.14103,28.5,6.86031,5.62386,6.86031
gen=1193_member=29228_pso,0.169273,0.169273,28.5,6.82064,5.64048,6.82064
gen=1796_member=29502_pso,0.0324153,0.0324153,28.5,7.1014,5.52097,7.1014
gen=895_member=29472_pso,0.0168407,0.0168407,28.5,7.20106,5.47812,7.20106
gen=716_member=11516_pso,0.880183,0.880183,28.5,6.56674,5.68666,6.56674
gen=1500_member=29997_pso,0.000886618,0.000886618,28.5,7.44456,5.38033,7.44456
