generation,member,ar_rate_total,mean_conc,ar_rate_total_sd,mean_conc_sd,ar_rate_total_sd_syn,mean_conc_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
300,gen=2048_member=24781_pso,6.83396,0.160518,0,0.00844496,0.0116581,0.00844496,1,1.0,0,0.493895,0.493895,1,-999
300,gen=2019_member=21852_pso,7.76632,-0.0118249,0,0.0144813,0.0116581,0.0144813,1,1.0,0,0.435657,0.435657,1,-999
300,gen=2099_member=29876_pso,7.47129,0.00220685,0,0.0114613,0.0116581,0.0114613,1,1.0,0,0.447992,0.447992,1,-999
300,gen=2099_member=29859_pso,7.56359,-0.00123398,0,0.00555939,0.0116581,0.00614618,1,1.0,0,0.458297,0.458297,1,-999
300,gen=2099_member=29852_pso,7.04832,0.0475592,0,0.00349794,0.0116581,0.00614618,1,1.0,0,0.482323,0.482323,1,-999
300,gen=2099_member=29827_pso,6.73361,0.238346,0,0.00126542,0.0116581,0.00614618,1,1.0,0,0.481103,0.481103,1,-999
300,gen=2099_member=29819_pso,7.52246,-0.00166462,0,0.00783816,0.0116581,0.00783816,1,1.0,0,0.453613,0.453613,1,-999
300,gen=2099_member=29818_pso,7.19551,0.0154184,0,0.000902002,0.0116581,0.00614618,1,1.0,0,0.459405,0.459405,1,-999
300,gen=2099_member=29815_pso,6.96469,0.0780641,0,0.000879365,0.0116581,0.00614618,1,1.0,0,0.49891,0.49891,1,-999
300,gen=2099_member=29807_pso,7.09991,0.0327671,0,0.000949575,0.0116581,0.00614618,1,1.0,0,0.470964,0.470964,1,-999
300,gen=2084_member=28330_pso,6.79448,0.189232,0,0.00854936,0.0116581,0.00854936,1,1.0,0,0.494483,0.494483,1,-999
300,gen=2097_member=29662_pso,6.96698,0.0768831,0,0.00135874,0.0116581,0.00614618,1,1.0,0,0.49903,0.49903,1,-999
300,gen=2097_member=29625_pso,7.02296,0.0535869,0,0.00156556,0.0116581,0.00614618,1,1.0,0,0.487653,0.487653,1,-999
