real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=1196_member=29598_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.84691
gen=1497_member=29655_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.81078
gen=1498_member=29724_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.90308
gen=1500_member=29921_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.87326
gen=1839_member=3800_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,2.09478,5.63145
gen=1891_member=9042_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.8323
gen=1927_member=12660_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.80192
gen=1955_member=15459_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.79944
gen=1972_member=17166_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.437496,6.23735
gen=1987_member=18682_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.81703
gen=2006_member=20553_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,2.5688,5.24285
gen=2013_member=21201_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.81552
gen=2013_member=21229_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.96475
gen=2014_member=21321_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,1.70894,4.93689
gen=2014_member=21383_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.191871,6.50944
gen=2014_member=21389_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.83429
gen=2019_member=21852_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,2.41553,5.35079
gen=2028_member=22783_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.86646
gen=2029_member=22844_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.717947,5.93891
gen=2030_member=22910_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.96326
gen=2031_member=23067_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.79686
