real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_xdist,ar_ydist,ar_rate,ar_screens,ar_conc
gen=13_member=1200_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,8,1,0
gen=13_member=1201_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.72342,1,0
gen=13_member=1202_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.57331,1,0
gen=13_member=1203_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.78346,1,0
gen=13_member=1204_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.31479,1,0
gen=13_member=1205_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.03214,1,0
gen=13_member=1206_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.9893,1,0
gen=13_member=1207_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.15158,1,0
gen=13_member=1208_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.25993,1,0
gen=13_member=1209_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.90072,1,0
gen=13_member=1210_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.9382,1,0
gen=13_member=1211_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.85146,1,0
gen=13_member=1212_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.55441,1,0
gen=13_member=1213_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.39269,1,0
gen=13_member=1214_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.08107,1,0
gen=13_member=1215_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.26537,1,0
gen=13_member=1216_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.15266,1,0
gen=13_member=1217_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.05127,1,0
gen=13_member=1218_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.56572,1,0
gen=13_member=1219_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.9919,1,0
gen=13_member=1220_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.00671,1,0
gen=13_member=1221_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.20475,1,0
gen=13_member=1222_pso,0,0,-5,-5,-5,-5,-5,-5,1926,41.4997,6.47353,1,0
gen=13_member=1223_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.38311,1,0
gen=13_member=1224_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.40293,1,0
gen=13_member=1225_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.13755,1,0
gen=13_member=1226_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.36655,1,0
gen=13_member=1227_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.56627,1,0
gen=13_member=1228_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.18529,1,0
gen=13_member=1229_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.44413,1,0
gen=13_member=1230_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.05214,1,0
gen=13_member=1231_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.67305,1,0
gen=13_member=1232_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.53405,1,0
gen=13_member=1233_pso,0,0,-5,-5,-5,-5,-5,-5,1926,85,6.68197,1,0
gen=13_member=1234_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.049,1,0
gen=13_member=1235_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.1531,1,0
gen=13_member=1236_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,8,1,0
gen=13_member=1237_pso,0,0,-5,-5,-5,-5,-5,-5,1926,62.744,6.25863,1,0
gen=13_member=1238_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.09517,1,0
gen=13_member=1239_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.87231,1,0
gen=13_member=1240_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.23657,1,0
gen=13_member=1241_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.23175,1,0
gen=13_member=1242_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.57985,1,0
gen=13_member=1243_pso,0,0,-5,-5,-5,-5,-5,-5,1926,67.1123,5.57962,1,0
gen=13_member=1244_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.95075,1,0
gen=13_member=1245_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.48919,1,0
gen=13_member=1246_pso,0,0,-5,-5,-5,-5,-5,-5,1926,41.6673,6.83152,1,0
gen=13_member=1247_pso,0,0,-5,-5,-5,-5,-5,-5,1926,44.4713,5.62028,1,0
gen=13_member=1248_pso,0,0,-5,-5,-5,-5,-5,-5,1926,43.3125,6.90281,1,0
gen=13_member=1249_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.49369,1,0
gen=13_member=1250_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,8,1,0
gen=13_member=1251_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.92055,1,0
gen=13_member=1252_pso,0,0,-5,-5,-5,-5,-5,-5,1926,41.5602,8,1,0
gen=13_member=1253_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.81033,1,0
gen=13_member=1254_pso,0,0,-5,-5,-5,-5,-5,-5,1926,44.2277,6.36883,1,0
gen=13_member=1255_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.30179,1,0
gen=13_member=1256_pso,0,0,-5,-5,-5,-5,-5,-5,1926,48.5134,7.41072,1,0
gen=13_member=1257_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.41722,1,0
gen=13_member=1258_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.20092,1,0
gen=13_member=1259_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.46118,1,0
gen=13_member=1260_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.34798,1,0
gen=13_member=1261_pso,0,0,-5,-5,-5,-5,-5,-5,1926,54.1022,7.45579,1,0
gen=13_member=1262_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.26874,1,0
gen=13_member=1263_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.3282,1,0
gen=13_member=1264_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.51003,1,0
gen=13_member=1265_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.57426,1,0
gen=13_member=1266_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.70871,1,0
gen=13_member=1268_pso,0,0,-5,-5,-5,-5,-5,-5,1926,75.6582,7.73825,1,0
gen=13_member=1269_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.15657,1,0
gen=13_member=1270_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.6252,1,0
gen=13_member=1271_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.638,1,0
gen=13_member=1272_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.09923,1,0
gen=13_member=1273_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.03037,1,0
gen=13_member=1274_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.46526,1,0
gen=13_member=1275_pso,0,0,-5,-5,-5,-5,-5,-5,1926,44.1371,5.81304,1,0
gen=13_member=1276_pso,0,0,-5,-5,-5,-5,-5,-5,1926,56.0148,5.72015,1,0
gen=13_member=1277_pso,0,0,-5,-5,-5,-5,-5,-5,1926,85,6.57372,1,0
gen=13_member=1278_pso,0,0,-5,-5,-5,-5,-5,-5,1926,47.1644,6.26025,1,0
gen=13_member=1279_pso,0,0,-5,-5,-5,-5,-5,-5,1926,69.9599,7.49013,1,0
gen=13_member=1280_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.67458,1,0
gen=13_member=1281_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,8,1,0
gen=13_member=1282_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.50209,1,0
