real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=0,-4.25899,-4.73624,-0.176859,-2.86654,-0.420106,-2.19041,-0.136633,-4.3995,1.93012,0.119277,gen=0_member=0,2.71e-14,2.71e-14,19.1853,2.04939,4.25605,2.04939,1,1,0,0,0,0
gen=0_member=1,-1.46069,-4.09849,-2.07205,-3.8637,-2.88985,-2.74888,-2.63148,-1.11013,3.92599,3.5999,gen=0_member=1,6.75e-06,6.75e-06,20.8753,7.52589,3.31655,7.52589,1,1,0,0,0,0
gen=0_member=2,-2.43879,-3.71517,-3.58223,-1.43142,-2.80479,-4.72662,-2.20381,-3.63582,5.61004,1.84968,gen=0_member=2,4.28e-05,4.28e-05,24.5387,7.45972,4.32595,7.45972,1,1,0,0,0,0
gen=0_member=3,-1.65519,-3.20633,-3.08058,-1.06689,-3.17393,-1.47894,-1.56355,-0.187626,2.87372,1.75417,gen=0_member=3,9.42e-05,9.42e-05,15.413,4.62788,2.63285,4.62788,1,1,0,0,0,0
gen=0_member=4,-0.390659,-0.933235,-1.27766,-2.95021,-4.64221,-1.12327,-2.99021,-3.4067,2.68754,4.01235,gen=0_member=4,7.13e-05,7.13e-05,17.7142,6.69989,2.73285,6.69989,1,1,0,0,0,0
gen=0_member=5,-2.96814,-3.98127,-2.46671,-0.0821334,-0.46548,-3.51655,-2.33871,-0.565376,1.30563,6.45149,gen=0_member=5,4.57e-05,4.57e-05,16.3844,7.75711,2.09595,7.75711,1,1,0,0,0,0
gen=0_member=6,-0.240713,-0.81707,-1.74709,-4.25676,-3.51287,-0.240961,-4.49117,-4.60364,0.949188,5.19001,gen=0_member=6,0.000101878,0.000101878,19.9103,6.1392,3.47085,6.1392,1,1,0,0,0,0
gen=0_member=7,-2.83215,-4.55892,-4.25351,-2.77036,-3.99664,-2.02244,-0.774368,-1.56726,3.04715,0.789306,gen=0_member=7,0.000119772,0.000119772,22.7756,3.83645,4.77465,3.83645,1,1,0,0,0,0
gen=0_member=8,-4.73289,-2.48702,-3.77138,-3.06509,-0.614758,-1.62159,-1.81608,-3.98782,5.40034,2.51821,gen=0_member=8,6.32e-05,6.32e-05,22.0966,7.91855,3.55185,7.91855,1,1,0,0,0,0
gen=0_member=10,-0.211934,-4.234,-1.50154,-3.70615,-1.66342,-1.76848,-1.62994,-1.73892,1.75355,3.12032,gen=0_member=10,0.000134607,0.000134607,16.4544,4.87387,2.86585,4.87387,1,1,0,0,0,0
gen=0_member=12,-4.39941,-2.85059,-0.707846,-1.99914,-0.0944528,-2.97413,-0.293784,-2.6449,1.66586,2.38934,gen=0_member=12,3.66e-06,3.66e-06,15.9642,4.0552,2.94205,4.0552,1,1,0,0,0,0
gen=0_member=13,-3.7605,-2.29895,-0.409119,-1.11242,-0.549219,-3.99785,-3.18627,-3.20828,2.54137,5.62,gen=0_member=13,0.0,0.0,18.5226,8.16138,2.58225,8.16138,1,1,0,0,0,0
gen=0_member=14,-3.55752,-2.46558,-3.63739,-0.775526,-2.13226,-4.658,-2.76141,-2.07862,3.43294,5.84605,gen=0_member=14,0.000174365,0.000174365,22.0663,9.279,3.18735,9.279,1,1,0,0,0,0
gen=0_member=16,-2.12265,-2.40196,-1.815,-3.27274,-0.981726,-1.88678,-3.08857,-2.41741,1.20125,5.76825,gen=0_member=16,3.02e-05,3.02e-05,17.9868,6.9695,2.73795,6.9695,1,1,0,0,0,0
gen=0_member=17,-3.2849,-0.978874,-3.22656,-4.4696,-1.63508,-4.10098,-2.05646,-2.25341,2.01606,4.64759,gen=0_member=17,3.55e-05,3.55e-05,22.0059,6.66365,3.83485,6.66365,1,1,0,0,0,0
