real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=0_member=61,-0.73685,-4.5854,-4.16439,-2.0439,-2.7969,-0.514838,-1.59226,-3.59379,0.0143761,0.303256
gen=0_member=28,-1.99039,-0.0543033,-0.249687,-0.408919,-0.814505,-0.160091,-2.66681,-3.0298,2.22679,0.981857
gen=0_member=52,-4.34212,-1.71078,-1.29918,-1.30748,-3.46511,-1.45257,-3.34864,-4.45814,0.90481,0.706142
gen=0_member=43,-0.340747,-3.59449,-4.28111,-4.01989,-4.57755,-2.41205,-1.39054,-1.50589,1.55753,1.17908
gen=0_member=71,-1.86741,-0.25818,-1.0265,-2.61516,-3.59571,-3.57533,-3.70192,-3.55301,3.15548,0.00446347
gen=46_member=4536_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-2.72325,-4.75,0.130993,7.0
gen=103_member=10248_pso,-4.75,-4.75,-4.75,-0.157051,-4.58824,-4.75,-0.821728,-4.75,0.0,0.130393
gen=238_member=23799_pso,-4.75,-2.83151,-2.69323,0.0,-4.46442,-4.75,-4.75,-4.75,0.004021,4.92402
gen=266_member=26625_pso,-4.75,-3.36991,-4.75,-1.59765,-4.65262,-4.75,0.0,-4.75,0.0,0.0
gen=270_member=26997_pso,-4.75,-3.91644,-4.75,0.0,-4.55529,-4.75,-4.75,-4.75,7.0,0.133346
gen=272_member=27162_pso,-4.75,-3.56105,-4.75,-1.63599,-4.75,-4.75,0.0,-4.75,0.0,0.0
gen=281_member=28033_pso,-4.75,-4.75,-4.75,0.0,-4.74059,-4.75,-2.91113,-4.75,0.129907,0.0
gen=282_member=28168_pso,-4.75,-3.78875,-4.75,-1.47666,-4.74997,-4.75,0.0,-4.75,0.0,0.0
gen=286_member=28556_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-2.53802,-4.75,0.0,1.16225
gen=286_member=28615_pso,-4.75,-3.30808,-4.75,0.0,-4.40665,-4.75,-4.75,-4.75,7.0,0.13173
gen=286_member=28627_pso,-4.75,-4.75,-4.75,-0.260121,-4.75,-4.75,0.0,-4.75,0.1733,0.0966448
gen=287_member=28653_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,-4.75,4.11903,0.0
gen=290_member=28961_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,4.03328
gen=291_member=29079_pso,-4.75,-4.72302,-4.4082,0.0,-4.75,-4.75,-1.68748,-4.75,0.0,2.69117
gen=292_member=29137_pso,-4.75,-4.75,-4.75,-0.329493,-4.75,-4.75,-0.403176,-4.75,7.0,0.864031
gen=292_member=29154_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,2.64414,1.52067
gen=292_member=29227_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,-4.75,0.0,2.93407
gen=293_member=29246_pso,-4.75,-4.75,-4.75,-0.902894,-4.75,-4.75,0.0,-4.75,0.0,3.25188
gen=293_member=29256_pso,-4.75,-4.49874,-4.75,0.0,-4.64006,-4.75,-0.570417,-4.75,5.66167,0.322763
gen=293_member=29259_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-0.791149,-4.75,5.80019,1.17289
gen=293_member=29327_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-1.65918,-4.75,4.30486,0.20524
gen=294_member=29364_pso,-4.75,-4.75,-4.75,-0.162874,-4.75,-4.75,-1.16416,-4.75,5.98719,0.0
gen=294_member=29394_pso,-4.75,-4.75,-4.75,-1.77275,-4.75,-4.75,-2.81262,-4.75,5.21689,0.0
gen=294_member=29425_pso,-4.75,-4.75,-4.75,-1.61134,-4.67743,-4.75,-0.444626,-4.75,3.43165,4.08453
gen=295_member=29433_pso,-4.75,-4.75,-4.75,-0.623816,-4.75,-4.75,-2.59868,-4.75,5.58682,0.0
gen=295_member=29447_pso,-4.75,-4.75,-4.75,-0.813974,-4.75,-4.75,0.0,-4.75,3.98723,0.0
gen=295_member=29477_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,0.741874
gen=296_member=29541_pso,-4.75,-3.75498,-4.75,-0.348672,-4.74998,-4.75,-1.18422,-4.75,1.91454,0.0
gen=296_member=29543_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-3.07838,-4.75,0.0,0.960846
gen=296_member=29545_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-3.21586,-4.75,0.0,0.374212
gen=296_member=29571_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,5.94304,0.0
gen=296_member=29573_pso,-4.75,-4.70231,-4.75,-2.21109,-4.59311,-4.75,-0.266404,-4.75,1.69572,0.0
gen=296_member=29574_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-1.24409,-4.75,0.0,6.9846
gen=296_member=29581_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,1.36949,0.574002
gen=296_member=29584_pso,-4.75,-4.75,-4.75,-2.15941,-4.75,-4.75,0.0,-4.75,2.36842,4.41877
gen=296_member=29609_pso,-4.75,-4.72193,-4.75,-0.00500749,-4.75,-4.75,-1.9842,-4.75,6.18403,1.08509
gen=296_member=29611_pso,-4.75,-4.75,-4.75,-0.0658551,-4.75,-4.75,0.0,-4.75,0.0,2.64801
gen=296_member=29623_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-3.98953,-4.75,1.73657,1.86169
gen=297_member=29629_pso,-4.75,-4.75,-4.75,0.0,-4.63913,-4.75,-0.858812,-4.75,3.10534,0.0
