real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=61,5.4e-05,5.4e-05,20.0283,0.317632,4.92085,0.317632,1,1,0,0,0,0
gen=0_member=28,0.0,0.0,9.3745,3.20865,1.48615,3.20865,1,1,0,0,0,0
gen=0_member=52,2.4099999999999998e-24,2.4099999999999998e-24,21.384,1.61095,4.98055,1.61095,1,1,0,0,0,0
gen=0_member=43,4.6700000000000004e-35,4.6700000000000004e-35,22.1223,2.73661,4.88615,2.73661,1,1,0,0,0,0
gen=0_member=71,2.11e-99,2.11e-99,20.1932,3.15995,4.27545,3.15995,1,1,0,0,0,0
gen=46_member=4536_pso,3.28001,3.28001,31.2233,7.13099,6.63666,7.13099,0,0,0,0,0,0
gen=103_member=10248_pso,10.0539,10.0539,29.317,0.130393,8.14225,0.130393,0,0,0,0,0,0
gen=238_member=23799_pso,3.39679,3.39679,28.9892,4.92804,6.63041,4.92804,0,0,0,0,0,0
gen=266_member=26625_pso,9.36175,9.36175,28.6202,0.0,7.94255,0.0,0,0,0,0,0,0
gen=270_member=26997_pso,4.69601,4.69601,32.2217,7.13335,6.80828,7.13335,0,0,0,0,0,0
gen=272_member=27162_pso,9.89381,9.89381,28.947,0.0,8.08025,0.0,0,0,0,0,0,0
gen=281_member=28033_pso,11.8709,11.8709,31.4017,0.129907,8.72985,0.129907,0,0,0,0,0,0
gen=282_member=28168_pso,9.95235,9.95235,29.0154,0.0,8.09785,0.0,0,0,0,0,0,0
gen=286_member=28556_pso,10.2539,10.2539,31.038,1.16225,8.32095,1.16225,0,0,0,0,0,0
gen=286_member=28615_pso,3.74832,3.74832,31.4647,7.13173,6.5285,7.13173,0,0,0,0,0,0
gen=286_member=28627_pso,9.15852,9.15852,28.7601,0.269945,7.90535,0.269945,0,0,0,0,0,0
gen=287_member=28653_pso,9.01525,9.01525,33.25,4.11903,8.10885,4.11903,0,0,0,0,0,0
gen=290_member=28961_pso,3.82143,3.82143,28.5,4.03328,6.69251,4.03328,0,0,0,0,0,0
gen=291_member=29079_pso,7.23296,7.23296,29.8187,2.69117,7.54855,2.69117,0,0,0,0,0,0
