generation,member,ar_rate_total,mean_conc,ar_rate_total_sd,mean_conc_sd,ar_rate_total_sd_syn,mean_conc_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
300,gen=1495_member=29499_pso,6.8299,-0.336012,0,0.598026,0.0189383,0.598026,1,1.0,0,0.473267,0.473267,1,-999
300,gen=1469_member=26899_pso,6.1031,1.45172,0,0.976448,0.0189383,0.976448,1,1.0,0,0.36293,0.36293,1,-999
300,gen=1497_member=29603_pso,7.87958,-0.921126,0,0.598166,0.0189383,0.598166,1,1.0,0,0.477448,0.477448,1,-999
300,gen=1500_member=29910_pso,7.93297,-0.902748,0,0.600142,0.0189383,0.600142,1,1.0,0,0.469237,0.469237,1,-999
300,gen=1499_member=29895_pso,7.48657,-0.739559,0,0.558129,0.0189383,0.558129,1,1.0,0,0.478283,0.478283,1,-999
300,gen=1495_member=29429_pso,6.21647,1.21938,0,1.79283,0.0189383,1.79283,1,1.0,0,0.449665,0.449665,1,-999
300,gen=1499_member=29841_pso,7.59149,-0.867378,0,0.604935,0.0189383,0.604935,1,1.0,0,0.469628,0.469628,1,-999
300,gen=1433_member=23240_pso,7.99692,-1.04729,0,0.565409,0.0189383,0.565409,1,1.0,0,0.444174,0.444174,1,-999
300,gen=1444_member=24375_pso,6.72829,-0.304,0,0.593394,0.0189383,0.593394,1,1.0,0,0.473504,0.473504,1,-999
300,gen=1498_member=29743_pso,7.16811,-0.67951,0,0.576513,0.0189383,0.576513,1,1.0,0,0.473049,0.473049,1,-999
300,gen=1500_member=29988_pso,7.32935,-0.700393,0,0.572888,0.0189383,0.572888,1,1.0,0,0.475919,0.475919,1,-999
300,gen=1498_member=29744_pso,7.03159,-0.731186,0,0.587816,0.0189383,0.587816,1,1.0,0,0.465894,0.465894,1,-999
300,gen=1494_member=29385_pso,6.30731,1.27091,0,1.67013,0.0189383,1.67013,1,1.0,0,0.463467,0.463467,1,-999
300,gen=1472_member=27177_pso,6.6817,-0.37094,0,0.586178,0.0189383,0.586178,1,1.0,0,0.46453,0.46453,1,-999
300,gen=1488_member=28714_pso,7.81013,-0.857143,0,0.59547,0.0189383,0.59547,1,1.0,0,0.476356,0.476356,1,-999
300,gen=1496_member=29592_pso,6.54476,0.839658,0,1.78042,0.0189383,1.78042,1,1.0,0,0.449701,0.449701,1,-999
300,gen=1494_member=29311_pso,6.66045,0.666999,0,1.80787,0.0189383,1.80787,1,1.0,0,0.411747,0.411747,1,-999
300,gen=1500_member=29922_pso,7.5338,-0.810215,0,0.557364,0.0189383,0.557364,1,1.0,0,0.469,0.469,1,-999
300,gen=1499_member=29868_pso,7.71209,-0.841534,0,0.595398,0.0189383,0.595398,1,1.0,0,0.473107,0.473107,1,-999
300,gen=1500_member=29960_pso,6.77635,-0.363012,0,0.592214,0.0189383,0.592214,1,1.0,0,0.477169,0.477169,1,-999
300,gen=1499_member=29855_pso,7.7731,-0.87423,0,0.590827,0.0189383,0.590827,1,1.0,0,0.472461,0.472461,1,-999
300,gen=1497_member=29604_pso,6.91655,-0.614174,0,0.588777,0.0189383,0.588777,1,1.0,0,0.457686,0.457686,1,-999
300,gen=1498_member=29769_pso,6.26621,1.4169,0,0.998631,0.0189383,0.998631,1,1.0,0,0.371966,0.371966,1,-999
300,gen=1494_member=29368_pso,7.12795,-0.779293,0,0.575427,0.0189383,0.575427,1,1.0,0,0.474481,0.474481,1,-999
300,gen=1484_member=28379_pso,7.0329,-0.731761,0,0.587706,0.0189383,0.587706,1,0.444444,1,0.466116,0.466116,1,-999
300,gen=1499_member=29875_pso,6.86952,-0.533661,0,0.583324,0.0189383,0.583324,1,0.444444,1,0.455658,0.455658,1,-999
300,gen=1500_member=29991_pso,7.17875,-0.714453,0,0.582735,0.0189383,0.582735,1,0.444444,1,0.475042,0.475042,1,-999
300,gen=1500_member=29936_pso,7.71076,-0.735471,0,0.601112,0.0189383,0.601112,1,0.444444,1,0.460731,0.460731,1,-999
300,gen=1500_member=29990_pso,7.06402,-0.745787,0,0.585305,0.0189383,0.585305,1,0.444444,1,0.467272,0.467272,1,-999
300,gen=1500_member=29987_pso,6.92297,-0.620728,0,0.588799,0.0189383,0.588799,1,0.444444,1,0.456927,0.456927,1,-999
300,gen=1498_member=29765_pso,7.59878,-0.840305,0,0.604506,0.0189383,0.604506,1,0.444444,1,0.471255,0.471255,1,-999
300,gen=1500_member=29902_pso,7.81411,-0.878147,0,0.599412,0.0189383,0.599412,1,0.444444,1,0.476801,0.476801,1,-999
300,gen=1497_member=29602_pso,7.39816,-0.748529,0,0.575424,0.0189383,0.575424,1,0.444444,1,0.478348,0.478348,1,-999
300,gen=1499_member=29803_pso,6.37301,1.21963,0,1.63279,0.0189383,1.63279,1,0.444444,1,0.46217,0.46217,1,-999
300,gen=1499_member=29858_pso,7.37897,-0.72673,0,0.567607,0.0189383,0.567607,1,0.444444,1,0.475066,0.475066,1,-999
300,gen=1500_member=29914_pso,7.89257,-0.930434,0,0.605299,0.0189383,0.605299,1,0.444444,1,0.473765,0.473765,1,-999
300,gen=1489_member=28846_pso,6.40805,1.18405,0,1.62664,0.0189383,1.62664,1,0.444444,1,0.457862,0.457862,1,-999
300,gen=1491_member=29046_pso,7.95603,-0.9172,0,0.598419,0.0189383,0.598419,1,0.444444,1,0.465722,0.465722,1,-999
