real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=1371_member=17032_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.11483
gen=1418_member=21714_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.68566
gen=1433_member=23240_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,1.1456,6.85133
gen=1444_member=24321_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.68591
gen=1444_member=24375_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0246815,6.70361
gen=1448_member=24777_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.73638
gen=1453_member=25278_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.73423
gen=1455_member=25457_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.1621,6.26179
gen=1459_member=25889_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.388239,6.09535
gen=1469_member=26899_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.10781,5.99529
gen=1471_member=27030_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.57643
gen=1471_member=27075_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0593234,6.61032
gen=1472_member=27146_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0667258,7.0
gen=1472_member=27177_pso,-4.75,-4.75,-4.75,0.0,-0.0164379,-4.75,-4.75,-4.75,0.0,6.6817
gen=1474_member=27343_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.175072,5.95338
gen=1476_member=27511_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.118338,6.15305
gen=1479_member=27876_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.66542
gen=1481_member=28010_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.125287,6.37626
gen=1481_member=28052_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.17599,6.27913
gen=1483_member=28279_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.55338
gen=1484_member=28379_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0329,7.0
gen=1487_member=28660_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.79915
gen=1487_member=28680_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.134447,7.0
gen=1487_member=28685_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.385344,6.89202
gen=1488_member=28714_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.845298,6.96483
gen=1488_member=28754_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.630302,7.0
gen=1489_member=28839_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.136777,6.08994
gen=1489_member=28846_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.299117,6.10893
gen=1490_member=28901_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.413477,7.0
gen=1490_member=28908_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.21833
gen=1491_member=29046_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.956031,7.0
gen=1492_member=29125_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.199026,7.0
gen=1492_member=29130_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.36581,6.98062
gen=1492_member=29173_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.774878,7.0
