real_name,mean_conc,salinity,total_pump_rate,allow_ar,wetland_dd
gen=0_member=0,3.36476e-18,3.36476e-18,14.3934,1,1.93017
gen=0_member=1,2.39469e-05,2.39469e-05,23.6289,1,5.51047
gen=0_member=2,-4.24902e-06,-4.24902e-06,18.4523,1,2.87398
gen=0_member=3,1.4401e-18,1.4401e-18,9.44233,1,1.98841
gen=0_member=4,1.12718e-11,1.12718e-11,21.7586,1,4.64012
gen=0_member=5,-4.01385e-06,-4.01385e-06,25.3947,1,4.83395
gen=0_member=6,8.70295e-07,8.70295e-07,24.1296,1,5.4008
gen=0_member=7,2.01285e-18,2.01285e-18,14.3031,1,1.72927
gen=0_member=8,5.81183e-12,5.81183e-12,24.9016,1,5.16137
gen=0_member=9,3.22779e-18,3.22779e-18,16.8454,1,3.39559
gen=0_member=10,2.3501e-18,2.3501e-18,16.4762,1,3.76601
gen=0_member=11,2.04063e-18,2.04063e-18,10.9688,1,1.64759
gen=0_member=12,-8.91141e-07,-8.91141e-07,17.8119,1,3.00967
gen=0_member=13,3.4271,3.4271,27.9454,1,7.75488
gen=0_member=14,7.22326e-12,7.22326e-12,21.2234,1,5.23483
gen=0_member=15,2.48807e-18,2.48807e-18,13.213,1,2.53087
gen=0_member=16,1.6569e-13,1.6569e-13,19.95,1,4.75094
gen=0_member=17,1.17004e-12,1.17004e-12,22.9783,1,4.91156
gen=0_member=18,7.06166e-12,7.06166e-12,21.749,1,4.97912
gen=0_member=19,7.98771e-15,7.98771e-15,20.2689,1,3.78695
gen=0_member=20,1.56369e-14,1.56369e-14,19.8788,1,4.11086
gen=0_member=21,2.49621e-18,2.49621e-18,14.4613,1,3.56262
gen=0_member=22,2.1149e-18,2.1149e-18,11.3581,1,2.57674
gen=0_member=23,0.0461918,0.0461918,25.0292,1,6.0659
gen=0_member=24,3.29859e-18,3.29859e-18,17.9811,1,4.06708
gen=0_member=25,2.11664e-10,2.11664e-10,24.1359,1,5.17646
gen=0_member=26,1.68017e-16,1.68017e-16,17.7263,1,3.89514
gen=0_member=27,2.29982e-18,2.29982e-18,15.9903,1,3.943
gen=0_member=28,2.60755e-18,2.60755e-18,14.799,1,2.75634
gen=0_member=29,2.18174e-17,2.18174e-17,18.9309,1,3.77967
gen=0_member=30,2.24135e-11,2.24135e-11,21.3548,1,4.50859
gen=0_member=31,6.31652e-18,6.31652e-18,18.1805,1,4.51208
gen=0_member=32,2.82192e-14,2.82192e-14,19.5958,1,4.75288
gen=0_member=33,6.46024e-13,6.46024e-13,20.5352,1,4.48517
gen=0_member=34,0.0015225,0.0015225,23.5498,1,5.81875
gen=0_member=35,9.66226e-17,9.66226e-17,18.3892,1,4.4042
gen=0_member=36,0.34874,0.34874,27.7267,1,6.60552
gen=0_member=37,-7.63945e-07,-7.63945e-07,22.125,1,3.57983
gen=0_member=38,5.55512e-10,5.55512e-10,27.1876,1,5.29451
gen=0_member=39,1.31431e-18,1.31431e-18,11.4825,1,1.78655
gen=0_member=40,2.82331e-07,2.82331e-07,22.0451,1,5.45844
gen=0_member=41,1.36231,1.36231,27.5707,1,7.07063
gen=0_member=42,1.71876e-13,1.71876e-13,18.762,1,2.76847
gen=0_member=43,1.61377e-12,1.61377e-12,25.0506,1,5.22783
gen=0_member=44,0.0091266,0.0091266,25.9884,1,5.87854
gen=0_member=45,8.54608e-17,8.54608e-17,23.5966,1,4.16961
gen=0_member=46,1.29792e-10,1.29792e-10,22.4941,1,5.22996
gen=0_member=47,-2.09844e-07,-2.09844e-07,22.3317,1,4.07628
gen=0_member=48,8.5432e-16,8.5432e-16,18.2967,1,4.56085
gen=0_member=49,4.24379e-07,4.24379e-07,22.4886,1,5.30513
gen=0_member=50,3.85778e-17,3.85778e-17,17.5816,1,3.86845
gen=0_member=51,-1.16938e-05,-1.16938e-05,18.2532,1,3.48419
gen=0_member=52,2.98569e-12,2.98569e-12,25.3256,1,5.01944
gen=0_member=53,2.94779e-06,2.94779e-06,26.1049,1,5.43443
gen=0_member=54,-1.60503e-07,-1.60503e-07,21.4838,1,3.78723
gen=0_member=55,1.99559e-18,1.99559e-18,15.1421,1,3.28279
gen=0_member=56,5.90184e-18,5.90184e-18,15.4921,1,3.3969
gen=0_member=57,2.21198e-18,2.21198e-18,14.5533,1,2.98536
gen=0_member=58,0.0127293,0.0127293,23.8126,1,5.88605
gen=0_member=59,2.25916e-11,2.25916e-11,24.1747,1,5.10943
gen=0_member=60,2.79435e-09,2.79435e-09,25.0432,1,5.54393
gen=0_member=61,9.40933e-12,9.40933e-12,21.1636,1,4.58287
gen=0_member=62,0.0193093,0.0193093,28.9841,1,5.89118
gen=0_member=63,1.97474e-18,1.97474e-18,14.14,1,1.68168
gen=0_member=64,1.01397e-09,1.01397e-09,23.2448,1,5.47835
gen=0_member=65,1.30562e-16,1.30562e-16,18.7456,1,4.36124
gen=0_member=66,2.73695e-15,2.73695e-15,18.8988,1,4.49325
gen=0_member=67,3.71221e-18,3.71221e-18,15.6708,1,3.39846
gen=0_member=68,1.55726e-09,1.55726e-09,22.7667,1,4.2576
gen=0_member=69,-9.44299e-07,-9.44299e-07,23.058,1,3.91265
gen=0_member=70,5.65651e-18,5.65651e-18,17.6894,1,4.31591
gen=0_member=71,7.52198e-16,7.52198e-16,22.1149,1,4.22981
gen=0_member=72,2.16162e-18,2.16162e-18,7.73632,1,0.342878
gen=0_member=73,3.25266e-16,3.25266e-16,19.1484,1,4.49402
gen=0_member=74,2.0263e-14,2.0263e-14,21.8522,1,4.50361
gen=0_member=75,1.30876e-15,1.30876e-15,18.7629,1,4.5295
gen=0_member=76,6.0972e-13,6.0972e-13,20.5436,1,4.28232
gen=0_member=77,5.98363e-16,5.98363e-16,18.2364,1,4.206
gen=0_member=78,6.46994e-17,6.46994e-17,20.0396,1,3.77334
gen=0_member=79,2.95518e-18,2.95518e-18,14.4413,1,3.42714
gen=0_member=80,2.73059e-17,2.73059e-17,18.7549,1,4.37641
gen=0_member=81,1.68815e-18,1.68815e-18,12.7881,1,2.69485
gen=0_member=82,4.0845e-11,4.0845e-11,21.7077,1,4.76904
gen=0_member=83,1.63182e-14,1.63182e-14,19.7082,1,4.48516
gen=0_member=84,2.54646e-10,2.54646e-10,22.0398,1,5.05399
gen=0_member=85,0.0114702,0.0114702,25.4985,1,5.89682
gen=0_member=86,6.44199e-18,6.44199e-18,17.4884,1,3.23177
gen=0_member=87,2.70598e-17,2.70598e-17,22.0182,1,4.10224
gen=0_member=88,1.00132e-13,1.00132e-13,20.3092,1,4.59162
gen=0_member=89,8.11912e-13,8.11912e-13,20.472,1,4.15884
gen=0_member=90,2.94139e-11,2.94139e-11,22.6482,1,5.1183
gen=0_member=91,2.37868e-18,2.37868e-18,16.3723,1,3.92686
gen=0_member=92,3.91035e-13,3.91035e-13,21.0443,1,4.98108
gen=0_member=93,-1.63084e-06,-1.63084e-06,23.4584,1,4.23814
gen=0_member=94,2.16424e-17,2.16424e-17,17.7665,1,3.41216
gen=0_member=95,1.86863e-15,1.86863e-15,20.3124,1,4.27829
gen=0_member=96,2.66854e-18,2.66854e-18,15.4727,1,2.88906
gen=0_member=97,8.73533e-09,8.73533e-09,24.347,1,4.13311
gen=0_member=98,7.14776e-11,7.14776e-11,22.3613,1,5.29322
gen=0_member=99,0.00743965,0.00743965,30,1,5.7326
