real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_xdist,ar_ydist,ar_rate,ar_screens,ar_conc
gen=12_member=1113_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.8138,1,0
gen=13_member=1281_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,8,1,0
gen=12_member=1199_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.899,1,0
gen=13_member=1246_pso,0,0,-5,-5,-5,-5,-5,-5,1926,41.6673,6.83152,1,0
gen=11_member=1021_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.98113,1,0
gen=12_member=1147_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.9996,1,0
gen=12_member=1114_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.71305,1,0
gen=12_member=1123_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.63995,1,0
gen=13_member=1238_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.09517,1,0
gen=13_member=1244_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.95075,1,0
gen=13_member=1220_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.00671,1,0
gen=12_member=1164_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.31812,1,0
gen=12_member=1134_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.2792,1,0
gen=13_member=1214_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.08107,1,0
gen=12_member=1118_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.22525,1,0
gen=12_member=1112_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.36833,1,0
gen=12_member=1126_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.42321,1,0
gen=13_member=1265_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.57426,1,0
gen=12_member=1174_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.06029,1,0
gen=13_member=1231_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.67305,1,0
gen=13_member=1273_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.03037,1,0
gen=13_member=1206_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.9893,1,0
gen=11_member=1082_pso,0,0,-5,-5,-5,-5,-5,-5,1926,42.3437,6.20015,1,0
gen=13_member=1251_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.92055,1,0
gen=13_member=1274_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.46526,1,0
gen=12_member=1191_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.02191,1,0
gen=11_member=1012_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.23902,1,0
gen=13_member=1260_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.34798,1,0
gen=11_member=1073_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.904,1,0
gen=13_member=1225_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.13755,1,0
gen=13_member=1284_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.11871,1,0
gen=13_member=1210_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.9382,1,0
gen=13_member=1293_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.37951,1,0
gen=13_member=1232_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.53405,1,0
gen=13_member=1218_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.56572,1,0
gen=13_member=1282_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.50209,1,0
gen=12_member=1151_pso,0,0,-5,-5,-5,-5,-5,-5,1926,44.3843,6.18554,1,0
gen=13_member=1234_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.049,1,0
gen=13_member=1222_pso,0,0,-5,-5,-5,-5,-5,-5,1926,41.4997,6.47353,1,0
gen=12_member=1171_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.33308,1,0
gen=13_member=1208_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.25993,1,0
gen=13_member=1299_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.10411,1,0
gen=11_member=1051_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.16873,1,0
gen=12_member=1104_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.70644,1,0
gen=12_member=1115_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.11093,1,0
gen=12_member=1148_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.19188,1,0
gen=13_member=1235_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.1531,1,0
gen=13_member=1224_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.40293,1,0
gen=12_member=1110_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.51049,1,0
gen=13_member=1216_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.15266,1,0
gen=12_member=1107_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.93517,1,0
gen=13_member=1213_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.39269,1,0
