real_name,mean_conc,salinity,total_pump_rate,allow_ar,wetland_dd
gen=13_member=1200_pso,9.70908e-05,9.70908e-05,30,1,5.65712
gen=13_member=1201_pso,0.0412473,0.0412473,30,1,6.23888
gen=13_member=1202_pso,0.0550769,0.0550769,30,1,6.29712
gen=13_member=1203_pso,0.205793,0.205793,30,1,6.59564
gen=13_member=1204_pso,0.00365673,0.00365673,30,1,5.91714
gen=13_member=1205_pso,0.146795,0.146795,30,1,6.50788
gen=13_member=1206_pso,0.019644,0.019644,30,1,6.12646
gen=13_member=1207_pso,0.0071274,0.0071274,30,1,5.98407
gen=13_member=1208_pso,0.102019,0.102019,30,1,6.42047
gen=13_member=1209_pso,0.176834,0.176834,30,1,6.55707
gen=13_member=1210_pso,0.167877,0.167877,30,1,6.53972
gen=13_member=1211_pso,0.0290194,0.0290194,30,1,6.18327
gen=13_member=1212_pso,0.00129779,0.00129779,30,1,5.82171
gen=13_member=1213_pso,0.078637,0.078637,30,1,6.36515
gen=13_member=1214_pso,0.135677,0.135677,30,1,6.48718
gen=13_member=1215_pso,0.10149,0.10149,30,1,6.41922
gen=13_member=1216_pso,0.122102,0.122102,30,1,6.46139
gen=13_member=1217_pso,0.142521,0.142521,30,1,6.4993
gen=13_member=1218_pso,0.0559645,0.0559645,30,1,6.29892
gen=13_member=1219_pso,0.228301,0.228301,30,1,6.60069
gen=13_member=1220_pso,0.152795,0.152795,30,1,6.51662
gen=13_member=1221_pso,0.00607658,0.00607658,30,1,5.9616
gen=13_member=1222_pso,0.0676573,0.0676573,30,1,6.33378
gen=13_member=1223_pso,0.0792398,0.0792398,30,1,6.36993
gen=13_member=1224_pso,0.076614,0.076614,30,1,6.36233
gen=13_member=1225_pso,0.123873,0.123873,30,1,6.46634
gen=13_member=1226_pso,0.114336,0.114336,30,1,6.45553
gen=13_member=1227_pso,0.270949,0.270949,30,1,6.67344
gen=13_member=1228_pso,0.411439,0.411439,30,1,6.80163
gen=13_member=1229_pso,0.309949,0.309949,30,1,6.71604
gen=13_member=1230_pso,0.142681,0.142681,30,1,6.49773
gen=13_member=1231_pso,0.0448758,0.0448758,30,1,6.25659
gen=13_member=1232_pso,0.0601939,0.0601939,30,1,6.31037
gen=13_member=1233_pso,0.0674446,0.0674446,30,1,6.25395
gen=13_member=1234_pso,0.142563,0.142563,30,1,6.50137
gen=13_member=1235_pso,0.120995,0.120995,30,1,6.45878
gen=13_member=1236_pso,9.70908e-05,9.70908e-05,30,1,5.65712
gen=13_member=1237_pso,0.121193,0.121193,30,1,6.4189
gen=13_member=1238_pso,0.00879478,0.00879478,30,1,6.00776
gen=13_member=1239_pso,0.0278461,0.0278461,30,1,6.17607
gen=13_member=1240_pso,0.00534263,0.00534263,30,1,5.95113
gen=13_member=1241_pso,0.00533336,0.00533336,30,1,5.95373
gen=13_member=1242_pso,0.00113615,0.00113615,30,1,5.81173
gen=13_member=1243_pso,0.318565,0.318565,30,1,6.67394
gen=13_member=1244_pso,0.164038,0.164038,30,1,6.53643
gen=13_member=1245_pso,0.295448,0.295448,30,1,6.70173
gen=13_member=1246_pso,0.0309368,0.0309368,30,1,6.19135
gen=13_member=1247_pso,0.256457,0.256457,30,1,6.65431
gen=13_member=1248_pso,0.025479,0.025479,30,1,6.16151
gen=13_member=1249_pso,0.292734,0.292734,30,1,6.70218
gen=13_member=1250_pso,9.70908e-05,9.70908e-05,30,1,5.65712
gen=13_member=1251_pso,0.171993,0.171993,30,1,6.54405
gen=13_member=1252_pso,0.000104167,0.000104167,30,1,5.65884
