real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=1046_member=14548_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.67667
gen=1148_member=24782_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.71837
gen=1160_member=25952_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.68764
gen=1170_member=26938_pso,-4.75,-4.75,-4.75,-0.722789,-4.75,-4.32504,0.0,-4.75,1.06651,6.90127
gen=1174_member=27325_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.449536,6.32919
gen=1178_member=27740_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,1.98008,6.00908
gen=1183_member=28247_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.69839
gen=1184_member=28389_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.342734,6.93619
gen=1190_member=28905_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.700476,6.79826
gen=1191_member=29030_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0485338,6.77564
gen=1191_member=29053_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.852853,6.7206
gen=1191_member=29056_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.615374,6.57027
gen=1191_member=29057_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.351766,7.0
gen=1194_member=29318_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.68693
gen=1194_member=29324_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.440849,6.83648
gen=1194_member=29394_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,1.74463,6.24563
gen=1195_member=29441_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.74133
gen=1195_member=29457_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.73974
gen=1196_member=29500_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.805231,6.82105
gen=1196_member=29516_pso,-4.75,-4.75,-4.75,-4.75,-4.75,0.0,0.0,-4.75,0.0,6.71074
gen=1196_member=29541_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,1.22089,6.77207
gen=1197_member=29613_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.96396
gen=1197_member=29629_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.360882,6.88183
gen=1197_member=29636_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.870706,7.0
gen=1197_member=29659_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.735087,7.0
gen=1197_member=29691_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.609966,6.7553
gen=1198_member=29701_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.10679,7.0
gen=1198_member=29715_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.87302
gen=1198_member=29719_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.205675,7.0
gen=1198_member=29727_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0978234,7.0
gen=1198_member=29732_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0953869,6.72697
gen=1198_member=29734_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.847403,7.0
gen=1198_member=29742_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,6.90066
gen=1199_member=29833_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.944745,7.0
gen=1199_member=29855_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.123348,7.0
