real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=1046_member=14548_pso,0.279247,0.279247,28.5,6.67667,5.70104,6.67667,1,0,0,0,0,0
gen=1148_member=24782_pso,0.2429,0.2429,28.5,6.71837,5.68359,6.71837,1,0,0,0,0,0
gen=1160_member=25952_pso,0.271223,0.271223,28.5,6.68764,5.69663,6.68764,1,0,0,0,0,0
gen=1170_member=26938_pso,0.000102623,0.000102623,28.7978,7.96778,5.29705,7.96778,1,1,0,0,0,0
gen=1174_member=27325_pso,0.268327,0.268327,28.5,6.77873,5.64745,6.77873,1,1,0,0,0,0
gen=1178_member=27740_pso,1.35168e-06,1.35168e-06,28.5,7.98916,5.20313,7.98916,1,1,0,0,0,0
gen=1183_member=28247_pso,0.259853,0.259853,28.5,6.69839,5.69204,6.69839,1,0,0,0,0,0
gen=1184_member=28389_pso,0.00851815,0.00851815,28.5,7.27892,5.44581,7.27892,1,1,0,0,0,0
gen=1190_member=28905_pso,0.00088998,0.00088998,28.5,7.49874,5.35864,7.49874,1,1,0,0,0,0
gen=1191_member=29030_pso,0.17462,0.17462,28.5,6.82417,5.63796,6.82417,1,1,0,0,0,0
gen=1191_member=29053_pso,0.000377855,0.000377855,28.5,7.57345,5.33076,7.57345,1,1,0,0,0,0
gen=1191_member=29056_pso,0.0407595,0.0407595,28.5,7.18564,5.47959,7.18564,1,1,0,0,0,0
gen=1191_member=29057_pso,0.00303775,0.00303775,28.5,7.35177,5.41696,7.35177,1,1,0,0,0,0
gen=1194_member=29318_pso,0.26992,0.26992,28.5,6.68693,5.69676,6.68693,1,0,0,0,0,0
gen=1194_member=29324_pso,0.0114655,0.0114655,28.5,7.27733,5.44525,7.27733,1,1,0,0,0,0
gen=1194_member=29394_pso,6.3378e-07,6.3378e-07,28.5,7.99026,5.20359,7.99026,1,1,0,0,0,0
gen=1195_member=29441_pso,0.224377,0.224377,28.5,6.74133,5.67401,6.74133,1,1,0,0,0,0
gen=1195_member=29457_pso,0.22492,0.22492,28.5,6.73974,5.67473,6.73974,1,1,0,0,0,0
gen=1196_member=29500_pso,0.000106772,0.000106772,28.5,7.62628,5.31269,7.62628,1,1,0,0,0,0
gen=1196_member=29516_pso,0.249307,0.249307,28.5,6.71074,5.68694,6.71074,1,0,0,0,0,0
gen=1196_member=29541_pso,6.69075e-08,6.69075e-08,28.5,7.99296,5.20467,7.99296,1,1,0,0,0,0
gen=1197_member=29613_pso,0.0784007,0.0784007,28.5,6.96396,5.58026,6.96396,1,1,0,0,0,0
gen=1197_member=29629_pso,0.0140518,0.0140518,28.5,7.24271,5.46005,7.24271,1,1,0,0,0,0
gen=1197_member=29636_pso,3.1858e-07,3.1858e-07,28.5,7.87071,5.23728,7.87071,1,1,0,0,0,0
gen=1197_member=29659_pso,6.01487e-06,6.01487e-06,28.5,7.73509,5.27724,7.73509,1,1,0,0,0,0
gen=1197_member=29691_pso,0.00571232,0.00571232,28.5,7.36527,5.40941,7.36527,1,1,0,0,0,0
gen=1198_member=29701_pso,0.0311897,0.0311897,28.5,7.10679,5.51878,7.10679,1,1,0,0,0,0
gen=1198_member=29715_pso,0.132477,0.132477,28.5,6.87302,5.61833,6.87302,1,1,0,0,0,0
gen=1198_member=29719_pso,0.0141573,0.0141573,28.5,7.20568,5.47685,7.20568,1,1,0,0,0,0
gen=1198_member=29727_pso,0.0332427,0.0332427,28.5,7.09782,5.5227,7.09782,1,1,0,0,0,0
gen=1198_member=29732_pso,0.183537,0.183537,28.5,6.82236,5.63758,6.82236,1,1,0,0,0,0
gen=1198_member=29734_pso,5.68687e-07,5.68687e-07,28.5,7.8474,5.24385,7.8474,1,1,0,0,0,0
gen=1198_member=29742_pso,0.114632,0.114632,28.5,6.90066,5.60689,6.90066,1,1,0,0,0,0
gen=1199_member=29833_pso,5.84648e-08,5.84648e-08,28.5,7.94475,5.21765,7.94475,1,1,0,0,0,0
gen=1199_member=29855_pso,0.0286593,0.0286593,28.5,7.12335,5.51192,7.12335,1,1,0,0,0,0
gen=1199_member=29865_pso,0.299865,0.299865,28.5,6.7877,5.63467,6.7877,1,1,0,0,0,0
gen=1200_member=29910_pso,0.149782,0.149782,28.5,6.84769,5.62922,6.84769,1,1,0,0,0,0
gen=1200_member=29913_pso,0.0609282,0.0609282,28.5,7.0,5.56535,7.0,1,1,0,0,0,0
gen=1200_member=29922_pso,0.10798,0.10798,28.5,6.9113,5.60217,6.9113,1,1,0,0,0,0
gen=1200_member=29966_pso,1.10273e-05,1.10273e-05,28.5,7.80986,5.25303,7.80986,1,1,0,0,0,0
gen=1200_member=29971_pso,0.24552,0.24552,28.5,6.71522,5.68493,6.71522,1,0,0,0,0,0
gen=1200_member=29987_pso,0.13361,0.13361,28.5,6.87134,5.61913,6.87134,1,1,0,0,0,0
gen=1200_member=29991_pso,0.0818277,0.0818277,28.5,6.95746,5.58299,6.95746,1,1,0,0,0,0
gen=300_member=29905_pso,0.410562,0.410562,28.5,6.56145,5.75,6.56145,1,0,0,0,0,0
gen=681_member=8065_pso,1.5566e-10,1.5566e-10,28.5,7.99999,5.15523,7.99999,1,1,0,0,0,0
gen=863_member=26208_pso,0.060362,0.060362,28.5,7.03207,5.54942,7.03207,1,1,0,0,0,0
gen=865_member=26407_pso,0.0525005,0.0525005,28.5,7.03251,5.5509,7.03251,1,1,0,0,0,0
gen=884_member=28384_pso,0.147163,0.147163,28.5016,6.84488,5.63127,6.84488,1,1,0,0,0,0
gen=887_member=28650_pso,9.73018e-09,9.73018e-09,28.5,7.84502,5.19327,7.84502,1,1,0,0,0,0
gen=887_member=28657_pso,0.0430605,0.0430605,28.5,7.06862,5.53515,7.06862,1,1,0,0,0,0
gen=888_member=28783_pso,2.56562e-06,2.56562e-06,28.5009,7.60109,5.25833,7.60109,1,1,0,0,0,0
gen=890_member=28901_pso,5.74033e-10,5.74033e-10,28.5,7.9515,5.16704,7.9515,1,1,0,0,0,0
gen=892_member=29196_pso,0.387493,0.387493,28.5,6.56309,5.74842,6.56309,1,0,0,0,0,0
gen=893_member=29236_pso,1.77767e-10,1.77767e-10,28.5,7.9949,5.15647,7.9949,1,1,0,0,0,0
gen=893_member=29293_pso,0.35007,0.35007,28.5,6.63152,5.71574,6.63152,1,0,0,0,0,0
gen=894_member=29307_pso,4.21177e-09,4.21177e-09,28.5,7.8776,5.18519,7.8776,1,1,0,0,0,0
gen=894_member=29341_pso,0.00011504,0.00011504,28.5028,7.40028,5.32499,7.40028,1,1,0,0,0,0
gen=894_member=29399_pso,2.06338e-10,2.06338e-10,28.5,7.99346,5.15683,7.99346,1,1,0,0,0,0
gen=895_member=29482_pso,0.286105,0.286105,28.5,6.66901,5.70427,6.66901,1,0,0,0,0,0
gen=895_member=29493_pso,0.0438118,0.0438118,28.5,7.06604,5.53622,7.06604,1,1,0,0,0,0
gen=896_member=29545_pso,7.23357e-06,7.23357e-06,28.5026,7.55507,5.27298,7.55507,1,1,0,0,0,0
gen=896_member=29550_pso,0.311737,0.311737,28.5,6.64109,5.71579,6.64109,1,0,0,0,0,0
gen=896_member=29557_pso,0.0138093,0.0138093,28.5007,7.23676,5.46352,7.23676,1,1,0,0,0,0
gen=897_member=29608_pso,0.0519651,0.0519651,28.5,7.03419,5.55027,7.03419,1,1,0,0,0,0
gen=897_member=29621_pso,0.213492,0.213492,28.5,6.754,5.66858,6.754,1,1,0,0,0,0
gen=897_member=29646_pso,0.104895,0.104895,28.5041,6.9157,5.60234,6.9157,1,1,0,0,0,0
gen=897_member=29681_pso,0.143372,0.143372,28.5,6.84878,5.62894,6.84878,1,1,0,0,0,0
gen=898_member=29700_pso,5.75886e-07,5.75886e-07,28.5003,7.67072,5.23838,7.67072,1,1,0,0,0,0
gen=898_member=29732_pso,8.50455e-09,8.50455e-09,28.5003,7.85052,5.19198,7.85052,1,1,0,0,0,0
gen=898_member=29760_pso,0.155526,0.155526,28.5032,6.83426,5.63639,6.83426,1,1,0,0,0,0
gen=898_member=29771_pso,0.0415978,0.0415978,28.5003,7.07494,5.53252,7.07494,1,1,0,0,0,0
gen=898_member=29772_pso,0.109195,0.109195,28.5,6.90388,5.6055,6.90388,1,1,0,0,0,0
gen=898_member=29778_pso,0.203021,0.203021,28.5027,6.77035,5.66291,6.77035,1,1,0,0,0,0
gen=898_member=29789_pso,0.0311421,0.0311421,28.5004,7.12225,5.51227,7.12225,1,1,0,0,0,0
gen=899_member=29804_pso,1.47554e-07,1.47554e-07,28.5005,7.73127,5.22223,7.73127,1,1,0,0,0,0
gen=899_member=29806_pso,5.15102e-08,5.15102e-08,28.5,7.77706,5.21035,7.77706,1,1,0,0,0,0
gen=899_member=29818_pso,8.22189e-09,8.22189e-09,28.5004,7.85517,5.19087,7.85517,1,1,0,0,0,0
gen=899_member=29820_pso,0.0846767,0.0846767,28.5019,6.95168,5.58623,6.95168,1,1,0,0,0,0
gen=899_member=29822_pso,0.000227788,0.000227788,28.5,7.35353,5.34099,7.35353,1,1,0,0,0,0
gen=899_member=29823_pso,2.64698e-07,2.64698e-07,28.5,7.72874,5.22234,7.72874,1,1,0,0,0,0
gen=899_member=29840_pso,0.0914683,0.0914683,28.5,6.93658,5.59194,6.93658,1,1,0,0,0,0
gen=899_member=29855_pso,1.39512e-07,1.39512e-07,28.5,7.73796,5.22027,7.73796,1,1,0,0,0,0
gen=899_member=29859_pso,0.00014981,0.00014981,28.5,7.38003,5.33133,7.38003,1,1,0,0,0,0
gen=899_member=29864_pso,7.84792e-06,7.84792e-06,28.5,7.54754,5.27452,7.54754,1,1,0,0,0,0
gen=899_member=29872_pso,0.0683369,0.0683369,28.5006,6.98578,5.57154,6.98578,1,1,0,0,0,0
gen=899_member=29887_pso,0.00722187,0.00722187,28.5,7.2988,5.43768,7.2988,1,1,0,0,0,0
gen=899_member=29892_pso,0.0221733,0.0221733,28.5,7.17173,5.49109,7.17173,1,1,0,0,0,0
gen=900_member=29915_pso,1.99912e-09,1.99912e-09,28.5,7.90957,5.17738,7.90957,1,1,0,0,0,0
gen=900_member=29919_pso,0.0207887,0.0207887,28.5,7.1806,5.48738,7.1806,1,1,0,0,0,0
gen=900_member=29930_pso,0.0248038,0.0248038,28.5,7.15572,5.49784,7.15572,1,1,0,0,0,0
gen=900_member=29940_pso,0.0709568,0.0709568,28.5,6.97901,5.57403,6.97901,1,1,0,0,0,0
gen=900_member=29949_pso,0.323407,0.323407,28.5,6.63635,5.71857,6.63635,1,0,0,0,0,0
gen=900_member=29953_pso,3.72588e-09,3.72588e-09,28.5,7.88486,5.18343,7.88486,1,1,0,0,0,0
gen=900_member=29955_pso,1.04942e-09,1.04942e-09,28.5,7.93151,5.17198,7.93151,1,1,0,0,0,0
gen=900_member=29960_pso,4.15291e-06,4.15291e-06,28.5015,7.58232,5.2642,7.58232,1,1,0,0,0,0
gen=900_member=29964_pso,0.374277,0.374277,28.5,6.57608,5.74291,6.57608,1,0,0,0,0,0
gen=900_member=29970_pso,0.254932,0.254932,28.5,6.70414,5.6896,6.70414,1,0,0,0,0,0
gen=900_member=29988_pso,0.197365,0.197365,28.5,6.77437,5.66021,6.77437,1,1,0,0,0,0
gen=900_member=29992_pso,2.46155e-05,2.46155e-05,28.5,7.49276,5.2924,7.49276,1,1,0,0,0,0
gen=919_member=1872_pso,0.279147,0.279147,28.5,6.67686,5.70103,6.67686,1,0,0,0,0,0
