real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=0,-4.05112,-4.51528,-3.30081,-4.18466,-3.77525,-3.5519,-3.61763,-3.47811,0.845466,1.46956,gen=0_member=0,8.49246,8.49246,30.4748,2.31503,7.86045,2.31503,1,1,0,0,0,0
gen=0_member=1,-4.16646,-4.44087,-1.63126,-4.44461,-3.01496,-3.11605,-4.11515,-4.49428,0.412712,1.07923,gen=0_member=1,8.28715,8.28715,29.4236,1.49194,7.75455,1.49194,1,1,0,0,0,0
gen=0_member=2,-3.00998,-2.23188,-4.46405,-3.15462,-4.3334,-2.60986,-4.62008,-4.74565,6.56679,1.25058,gen=0_member=2,0.500058,0.500058,29.1695,7.81737,5.56767,7.81737,1,1,0,0,0,0
gen=0_member=3,-3.87246,-4.35768,-3.43407,-1.99406,-3.83897,-4.61394,-2.87188,-4.31536,2.39099,1.88013,gen=0_member=3,4.61889,4.61889,29.2984,4.27111,6.82074,4.27111,1,1,0,0,0,0
gen=0_member=4,-4.71074,-4.51554,-2.34996,-3.19208,-4.40237,-3.81452,-4.3401,-3.37621,5.87532,1.44994,gen=0_member=4,2.56782,2.56782,30.7015,7.32526,6.20551,7.32526,1,1,0,0,0,0
gen=0_member=5,-3.66983,-4.47042,-2.41387,-2.55112,-4.33526,-3.11942,-3.65385,-4.35707,1.25966,5.72055,gen=0_member=5,0.398347,0.398347,28.5708,6.98021,5.65311,6.98021,1,1,0,0,0,0
gen=0_member=6,-4.22084,-3.95508,-4.74544,-0.0809645,-4.67259,-3.95295,-3.83772,-4.60613,5.25357,0.471484,gen=0_member=6,3.93897,3.93897,30.0717,5.72505,6.57172,5.72505,1,1,0,0,0,0
gen=0_member=7,-3.59652,-2.81345,-4.14096,-4.02567,-4.5357,-4.22585,-4.45905,-2.23643,2.21471,0.419081,gen=0_member=7,7.49837,7.49837,30.0336,2.63379,7.57635,2.63379,1,1,0,0,0,0
gen=0_member=8,-3.91838,-3.25423,-3.09383,-2.4706,-4.06082,-3.77915,-3.75674,-4.7231,3.41839,2.01035,gen=0_member=8,3.0021,3.0021,29.0568,5.42874,6.34619,5.42874,1,1,0,0,0,0
gen=0_member=9,-4.68216,-4.10231,-4.4548,-1.74536,-2.74032,-4.4029,-3.58833,-4.13731,3.79103,1.8592,gen=0_member=9,3.58066,3.58066,29.8535,5.65023,6.51164,5.65023,1,1,0,0,0,0
gen=0_member=10,-4.25702,-4.02499,-2.67761,-4.41495,-2.74779,-4.62932,-3.77329,-4.06476,5.14034,1.56378,gen=0_member=10,3.14067,3.14067,30.5897,6.70412,6.377,6.70412,1,1,0,0,0,0
gen=0_member=11,-2.96067,-3.95555,-3.77732,-3.22329,-4.61549,-3.37403,-2.62935,-4.21285,2.4332,2.11204,gen=0_member=11,3.71676,3.71676,28.7486,4.54524,6.56578,4.54524,1,1,0,0,0,0
gen=0_member=12,-4.60993,-1.58749,-4.74364,-4.42984,-3.06476,-4.17428,-3.70939,-3.45695,1.61274,4.44361,gen=0_member=12,3.03051,3.03051,29.7763,6.05635,6.45668,6.05635,1,1,0,0,0,0
gen=0_member=13,-4.36983,-2.89963,-3.22787,-2.92117,-3.55882,-3.11385,-4.67849,-4.20711,3.06441,3.22954,gen=0_member=13,1.65977,1.65977,28.9768,6.29395,5.98926,6.29395,1,1,0,0,0,0
gen=0_member=14,-3.9871,-3.85622,-4.4699,-0.00245245,-3.81638,-3.49148,-4.69678,-4.35258,2.88339,4.77375,gen=0_member=14,0.0859063,0.0859063,28.6729,7.65714,5.42173,7.65714,1,1,0,0,0,0
gen=0_member=15,-3.95588,-3.51233,-4.62918,-3.90024,-4.61103,-3.98553,-1.6911,-4.34511,5.21694,0.923384,gen=0_member=15,4.03794,4.03794,30.6304,6.14032,6.61735,6.14032,1,1,0,0,0,0
gen=0_member=16,-4.42058,-4.22776,-4.62802,-1.49563,-2.44023,-4.64377,-2.60899,-4.60298,2.41114,1.138,gen=0_member=16,5.24406,5.24406,29.068,3.54914,6.96812,3.54914,1,1,0,0,0,0
gen=0_member=17,-3.63293,-4.70374,-4.26505,-3.85642,-0.736039,-4.56893,-3.40338,-4.55973,2.45524,5.18845,gen=0_member=17,0.928381,0.928381,29.7262,7.64369,5.80182,7.64369,1,1,0,0,0,0
gen=0_member=18,-4.62716,-4.07882,-2.50748,-4.34289,-3.06453,-3.47785,-4.26989,-4.52611,0.364768,4.12046,gen=0_member=18,6.16734,6.16734,30.8947,4.48522,7.34805,4.48522,1,1,0,0,0,0
gen=0_member=19,-3.23548,-2.45658,-4.48318,-4.10052,-4.43384,-3.36052,-3.8051,-3.30343,3.49834,0.141267,gen=0_member=19,5.48817,5.48817,29.1787,3.6396,6.98756,3.6396,1,1,0,0,0,0
gen=0_member=20,-3.6157,-2.22335,-3.09698,-3.28583,-4.34518,-4.47919,-3.54874,-4.39667,0.602404,1.42859,gen=0_member=20,7.21114,7.21114,28.9916,2.03099,7.49215,2.03099,1,1,0,0,0,0
gen=0_member=21,-3.21353,-4.4511,-4.08383,-2.62066,-4.3089,-4.19135,-4.52889,-2.88093,1.71791,5.29208,gen=0_member=21,2.46769,2.46769,30.2792,7.00998,6.30324,7.00998,1,1,0,0,0,0
gen=0_member=22,-2.51082,-3.46952,-1.36726,-4.72029,-3.9158,-4.45432,-4.02489,-4.56065,2.22721,0.0583281,gen=0_member=22,6.92861,6.92861,29.0235,2.28554,7.39145,2.28554,1,1,0,0,0,0
gen=0_member=23,-3.40446,-2.79686,-3.85904,-3.44828,-4.53489,-3.89077,-4.67419,-1.94716,5.8805,1.27503,gen=0_member=23,0.382161,0.382161,28.5557,7.15554,5.52494,7.15554,1,1,0,0,0,0
gen=0_member=24,-4.74929,-4.11048,-3.56859,-3.39144,-3.07293,-3.90439,-2.58138,-3.94006,0.854403,6.63401,gen=0_member=24,0.394804,0.394804,29.3186,7.48841,5.68046,7.48841,1,1,0,0,0,0
gen=0_member=25,-4.67732,-2.06667,-4.54119,-3.84304,-4.50665,-2.64676,-4.14085,-3.28531,4.53804,1.23289,gen=0_member=25,3.29235,3.29235,29.7078,5.77093,6.40875,5.77093,1,1,0,0,0,0
gen=0_member=26,-4.71089,-2.45616,-3.61693,-3.89651,-4.0832,-4.66644,-3.64284,-1.89229,0.174947,6.84156,gen=0_member=26,0.424349,0.424349,28.9653,7.0165,5.74886,7.0165,1,1,0,0,0,0
gen=0_member=27,-4.09006,-4.70086,-4.56509,-2.83738,-3.22662,-2.60231,-4.25455,-3.96222,3.91361,3.31086,gen=0_member=27,2.19795,2.19795,30.2391,7.22447,6.13885,7.22447,1,1,0,0,0,0
gen=0_member=28,-4.70108,-4.49259,-4.0013,-4.41358,-2.88142,-1.1338,-3.73263,-4.04697,0.571067,6.81148,gen=0_member=28,0.543619,0.543619,29.4034,7.38254,5.76627,7.38254,1,1,0,0,0,0
gen=0_member=29,-4.28273,-3.92567,-2.44252,-2.57704,-2.85347,-4.70208,-3.9018,-4.03175,0.421722,5.55628,gen=0_member=29,1.65944,1.65944,28.7171,5.97801,6.12137,5.97801,1,1,0,0,0,0
gen=0_member=30,-4.63007,-3.62215,-2.1605,-4.72412,-3.22414,-4.21475,-3.17964,-2.8548,0.960327,6.43573,gen=0_member=30,0.0272825,0.0272825,28.6102,7.39605,5.43738,7.39605,1,1,0,0,0,0
gen=0_member=31,-3.72189,-4.50698,-4.43421,-3.85514,-3.97865,-1.85585,-3.84715,-3.14391,2.44377,4.30973,gen=0_member=31,1.5168,1.5168,29.3438,6.7535,5.97737,6.7535,1,1,0,0,0,0
gen=0_member=32,-4.70011,-3.25464,-4.0763,-4.69588,-4.17183,-3.40632,-3.59813,-2.53329,4.83869,2.37789,gen=0_member=32,2.41522,2.41522,30.4365,7.21658,6.18065,7.21658,1,1,0,0,0,0
gen=0_member=33,-3.54189,-4.61162,-3.23549,-2.41087,-3.07399,-4.13082,-3.88118,-4.61459,4.53841,1.26625,gen=0_member=33,3.03597,3.03597,29.5005,5.80466,6.33354,5.80466,1,1,0,0,0,0
gen=0_member=34,-4.66757,-2.35092,-2.6468,-3.95608,-2.46842,-4.33702,-4.40417,-4.50271,0.606265,6.43772,gen=0_member=34,1.07147,1.07147,29.3337,7.04398,5.94789,7.04398,1,1,0,0,0,0
gen=0_member=35,-4.07818,-3.6726,-4.05834,-4.48394,-4.51473,-0.378554,-4.15943,-4.01428,2.00411,1.4429,gen=0_member=35,5.6609,5.6609,29.36,3.44701,7.10685,3.44701,1,1,0,0,0,0
gen=0_member=36,-3.06636,-4.41144,-3.04906,-4.47897,-3.08887,-4.34485,-4.22483,-3.593,5.97889,0.281783,gen=0_member=36,3.5267,3.5267,30.2574,6.26068,6.4512,6.26068,1,1,0,0,0,0
gen=0_member=37,-4.54035,-4.30311,-3.42595,-3.92383,-4.02123,-3.60603,-3.51712,-1.77602,3.33465,1.63983,gen=0_member=37,3.59531,3.59531,29.1136,4.97448,6.50749,4.97448,1,1,0,0,0,0
gen=0_member=38,-3.24589,-3.73851,-4.1511,-4.60858,-2.85075,-3.55563,-3.44698,-3.12872,1.05809,0.454682,gen=0_member=38,7.61259,7.61259,28.7262,1.51277,7.55195,1.51277,1,1,0,0,0,0
gen=0_member=39,-4.30005,-4.7051,-4.47623,-1.94236,-4.57631,-3.85892,-3.41807,-1.92633,2.1536,5.21084,gen=0_member=39,0.676207,0.676207,29.2034,7.36444,5.72202,7.36444,1,1,0,0,0,0
gen=0_member=40,-4.74082,-4.29559,-3.77309,-3.86845,-2.41258,-4.34599,-3.71,-3.25071,4.8955,1.09889,gen=0_member=40,3.74281,3.74281,30.3972,5.99439,6.53923,5.99439,1,1,0,0,0,0
gen=0_member=41,-3.59196,-4.60071,-4.50641,-2.23884,-4.55268,-2.67943,-3.17227,-3.47503,4.22569,2.56683,gen=0_member=41,0.937565,0.937565,28.8173,6.79252,5.74661,6.79252,1,1,0,0,0,0
gen=0_member=42,-2.49405,-2.98652,-3.9385,-4.56596,-1.57413,-4.32371,-4.6107,-4.36717,1.91464,5.76988,gen=0_member=42,0.129802,0.129802,28.8607,7.68452,5.48777,7.68452,1,1,0,0,0,0
gen=0_member=43,-3.54358,-4.42664,-4.16014,-3.56972,-4.52239,-4.64013,-3.53909,-0.214419,1.01207,1.53404,gen=0_member=43,5.99952,5.99952,28.6161,2.54611,7.18495,2.54611,1,1,0,0,0,0
gen=0_member=44,-4.00876,-4.74627,-4.58323,-4.15955,-4.27284,-4.66576,-0.764835,-3.97654,2.03165,4.40161,gen=0_member=44,4.0257,4.0257,31.1778,6.43327,6.75433,6.43327,1,1,0,0,0,0
gen=0_member=45,-3.98904,-4.28535,-2.77593,-2.97034,-4.52768,-4.10996,-3.02481,-3.25617,6.64541,1.02119,gen=0_member=45,0.293321,0.293321,28.9393,7.6666,5.47797,7.6666,1,1,0,0,0,0
gen=0_member=46,-4.10257,-2.81641,-4.15766,-4.70901,-3.2621,-4.71376,-4.70645,-0.471169,5.29329,0.00622263,gen=0_member=46,3.03132,3.03132,28.9391,5.29951,6.29838,5.29951,1,1,0,0,0,0
gen=0_member=47,-3.9062,-4.19386,-1.42119,-3.35345,-4.58642,-2.93188,-4.62573,-4.43241,1.30214,3.61679,gen=0_member=47,4.01018,4.01018,29.4511,4.91892,6.72711,4.91892,1,1,0,0,0,0
gen=0_member=48,-4.04617,-4.10919,-2.32302,-4.67356,-3.67503,-3.6141,-2.12952,-3.98539,6.94504,0.910991,gen=0_member=48,0.0283189,0.0283189,28.556,7.85603,5.2969,7.85603,1,1,0,0,0,0
gen=0_member=49,-4.29822,-4.30794,-2.67174,-3.76274,-4.40816,-2.49022,-3.20652,-3.54925,1.77877,4.96997,gen=0_member=49,0.78017,0.78017,28.6948,6.74874,5.77073,6.74874,1,1,0,0,0,0
gen=0_member=50,-3.98367,-0.392843,-3.88961,-4.68468,-4.44145,-4.41209,-4.48865,-4.24963,5.38963,0.0559588,gen=0_member=50,4.69826,4.69826,30.5426,5.44559,6.79387,5.44559,1,1,0,0,0,0
gen=0_member=51,-4.01087,-3.38312,-3.59771,-4.27191,-4.16317,-4.53952,-3.96042,-2.35244,0.654466,4.30286,gen=0_member=51,4.80645,4.80645,30.2792,4.95733,6.98369,4.95733,1,1,0,0,0,0
gen=0_member=52,-4.04696,-4.625,-4.38917,-4.05178,-3.6415,-4.68623,-1.98988,-4.28369,2.34406,4.00549,gen=0_member=52,4.8561,4.8561,31.7142,6.34955,6.98703,6.34955,1,1,0,0,0,0
gen=0_member=53,-2.57968,-3.3652,-3.3623,-1.17275,-4.71625,-4.64638,-4.27366,-4.38806,2.42236,4.93579,gen=0_member=53,0.131497,0.131497,28.5043,7.35815,5.47151,7.35815,1,1,0,0,0,0
gen=0_member=54,-4.68606,-2.65658,-3.25744,-2.35884,-3.82831,-2.86391,-4.57943,-4.68233,3.59268,1.8408,gen=0_member=54,2.84322,2.84322,28.9129,5.43347,6.29401,5.43347,1,1,0,0,0,0
gen=0_member=55,-4.74393,-4.74678,-3.6311,-4.69182,-2.3577,-1.32474,-4.73204,-3.35992,1.09304,1.07556,gen=0_member=55,7.63387,7.63387,29.588,2.16861,7.60625,2.16861,1,1,0,0,0,0
gen=0_member=56,-4.43759,-4.12123,-4.58089,-1.54902,-4.35865,-1.57058,-4.35851,-4.59621,1.98352,3.36841,gen=0_member=56,3.63304,3.63304,29.5727,5.35193,6.5939,5.35193,1,1,0,0,0,0
gen=0_member=57,-4.14801,-0.85545,-3.95539,-4.41865,-4.27347,-4.50831,-4.05726,-4.47167,5.79628,1.17306,gen=0_member=57,3.12818,3.12818,30.6882,6.96934,6.37288,6.96934,1,1,0,0,0,0
gen=0_member=58,-3.26352,-4.31196,-3.35838,-4.17465,-4.23331,-2.7203,-4.34246,-3.69369,5.73123,0.296345,gen=0_member=58,3.62955,3.62955,30.0983,6.02758,6.479,6.02758,1,1,0,0,0,0
gen=0_member=59,-4.22313,-0.569761,-4.60702,-4.16184,-3.30037,-3.78399,-4.01013,-4.59814,0.314341,6.34481,gen=0_member=59,1.41837,1.41837,29.2544,6.65915,6.07437,6.65915,1,1,0,0,0,0
gen=0_member=60,-3.5286,-3.24774,-4.53174,-4.63651,-3.48889,-3.83549,-4.03522,-4.05324,3.66465,3.75031,gen=0_member=60,3.12399,3.12399,31.3574,7.41496,6.43841,7.41496,1,1,0,0,0,0
gen=0_member=61,-2.69019,-4.55489,-4.59588,-4.33128,-4.65905,-3.37432,-0.991833,-4.0938,4.70921,2.51887,gen=0_member=61,0.967412,0.967412,29.2913,7.22808,5.75208,7.22808,1,1,0,0,0,0
gen=0_member=62,-4.08715,-4.41016,-3.88869,-1.54578,-2.53843,-4.46825,-4.56667,-4.46588,0.797231,6.84921,gen=0_member=62,1.10856,1.10856,29.971,7.64644,5.95176,7.64644,1,1,0,0,0,0
gen=0_member=63,-4.71542,-4.70677,-3.12199,-4.32684,-4.14129,-1.00683,-4.02874,-3.38373,4.7031,1.83337,gen=0_member=63,1.895,1.895,29.4316,6.53647,6.01845,6.53647,1,1,0,0,0,0
gen=0_member=64,-4.46493,-4.16164,-4.61804,-2.61405,-4.48574,-4.16221,-1.00802,-4.17435,3.43748,4.49494,gen=0_member=64,0.628545,0.628545,29.689,7.93242,5.66925,7.93242,1,1,0,0,0,0
gen=0_member=65,-3.7217,-4.28937,-4.03714,-4.02351,-3.78373,-4.27007,-4.68504,-4.65151,4.43076,2.90485,gen=0_member=65,5.56126,5.56126,33.4621,7.33561,7.18595,7.33561,1,1,0,0,0,0
gen=0_member=66,-4.53534,-1.97131,-3.86518,-3.92601,-4.374,-3.19409,-3.1785,-4.45418,3.39487,4.34336,gen=0_member=66,0.634589,0.634589,29.4986,7.73823,5.67187,7.73823,1,1,0,0,0,0
gen=0_member=67,-3.86097,-4.51967,-2.92525,-4.69707,-4.12473,-4.50678,-3.17383,-2.96572,2.90699,0.0323695,gen=0_member=67,8.04099,8.04099,30.774,2.93936,7.73115,2.93936,1,1,0,0,0,0
gen=0_member=68,-4.72901,-2.70509,-3.89471,-4.29606,-4.44749,-3.59861,-2.9065,-3.29825,1.47998,1.64912,gen=0_member=68,6.77316,6.77316,29.8757,3.1291,7.41615,3.1291,1,1,0,0,0,0
gen=0_member=69,-3.86768,-4.44439,-4.33132,-1.7347,-4.05294,-3.97714,-3.85779,-4.56757,2.7311,3.815,gen=0_member=69,3.5595,3.5595,30.8335,6.5461,6.57898,6.5461,1,1,0,0,0,0
gen=0_member=70,-4.2429,-4.47886,-0.741795,-2.26419,-3.94285,-4.12055,-4.44322,-4.32964,6.10493,1.72723,gen=0_member=70,0.0308315,0.0308315,28.564,7.83216,5.31012,7.83216,1,1,0,0,0,0
gen=0_member=71,-1.51545,-4.59343,-2.60258,-4.64544,-4.64308,-4.04764,-2.35919,-4.40614,3.74839,4.01543,gen=0_member=71,0.118356,0.118356,28.8129,7.76382,5.42719,7.76382,1,1,0,0,0,0
gen=0_member=72,-3.56291,-3.42734,-1.72417,-4.00282,-4.48539,-4.27795,-3.39388,-3.66454,3.22239,2.65022,gen=0_member=72,1.6635,1.6635,28.539,5.87262,5.97876,5.87262,1,1,0,0,0,0
gen=0_member=73,-2.70988,-4.48896,-2.3067,-4.27915,-3.57265,-4.40684,-3.251,-3.83979,0.602947,0.961976,gen=0_member=73,7.67229,7.67229,28.855,1.56492,7.58075,1.56492,1,1,0,0,0,0
gen=0_member=75,-3.94953,-3.95085,-3.66682,-1.91021,-2.24734,-4.05407,-4.66974,-4.27651,5.83334,1.96355,gen=0_member=75,0.091725,0.091725,28.7251,7.79689,5.37418,7.79689,1,1,0,0,0,0
gen=0_member=76,-4.40126,-2.65516,-4.21851,-4.63448,-3.394,-4.30921,-3.68526,-2.51796,0.435645,3.27356,gen=0_member=76,5.79996,5.79996,29.8158,3.7092,7.20875,3.7092,1,1,0,0,0,0
gen=0_member=77,-2.1251,-4.39768,-3.85603,-4.43469,-3.37142,-3.74722,-4.21682,-3.33563,3.98006,0.626479,gen=0_member=77,4.65028,4.65028,29.4846,4.60654,6.77174,4.60654,1,1,0,0,0,0
gen=0_member=78,-3.99915,-3.65642,-2.49703,-3.85664,-3.41411,-3.78846,-3.58872,-4.7472,5.96544,1.22337,gen=0_member=78,1.51071,1.51071,29.5477,7.18881,5.89118,7.18881,1,1,0,0,0,0
gen=0_member=79,-4.46906,-4.23348,-2.10095,-4.15926,-3.82243,-4.2527,-4.36571,-2.88447,0.535428,1.07174,gen=0_member=79,9.14741,9.14741,30.2881,1.60717,8.00195,1.60717,1,1,0,0,0,0
gen=0_member=80,-4.43373,-4.71916,-4.00247,-2.88762,-3.61061,-2.76823,-4.16512,-4.45496,5.18659,0.863545,gen=0_member=80,4.5449,4.5449,31.0419,6.05013,6.76714,6.05013,1,1,0,0,0,0
gen=0_member=81,-4.69397,-1.01979,-3.96556,-4.68611,-4.30871,-4.1762,-3.9494,-1.81206,0.457517,1.80542,gen=0_member=81,6.34117,6.34117,28.6118,2.26294,7.27505,2.26294,1,1,0,0,0,0
gen=0_member=82,-4.43922,-2.75484,-3.08669,-3.08253,-4.32236,-4.66215,-4.3781,-3.95847,0.0968434,1.37959,gen=0_member=82,9.59182,9.59182,30.6844,1.47644,8.14615,1.47644,1,1,0,0,0,0
gen=0_member=83,-4.6152,-4.43977,-4.24333,-2.58898,-3.20775,-3.40916,-4.2152,-4.09128,2.99016,0.315631,gen=0_member=83,7.65714,7.65714,30.8107,3.30579,7.63705,3.30579,1,1,0,0,0,0
gen=0_member=84,-4.08325,-2.93331,-4.00439,-4.143,-4.29501,-3.98791,-2.29346,-4.03565,4.93873,0.435739,gen=0_member=84,3.8196,3.8196,29.776,5.37447,6.53801,5.37447,1,1,0,0,0,0
gen=0_member=85,-1.53165,-2.73061,-4.02229,-3.84568,-3.46447,-3.80312,-4.46805,-4.64574,1.75993,4.66604,gen=0_member=85,0.925972,0.925972,28.5116,6.42597,5.82356,6.42597,1,1,0,0,0,0
gen=0_member=86,-2.96558,-4.29816,-2.90043,-1.63023,-4.70839,-3.43091,-4.43983,-4.46864,0.078026,0.904146,gen=0_member=86,8.32917,8.32917,28.8422,0.982172,7.74135,0.982172,1,1,0,0,0,0
gen=0_member=87,-4.3874,-4.02005,-4.49641,-4.10804,-2.87962,-3.75667,-4.45435,-0.759457,1.70066,1.14462,gen=0_member=87,5.88481,5.88481,28.862,2.84528,7.14875,2.84528,1,1,0,0,0,0
gen=0_member=89,-4.03218,-4.57235,-4.54497,-0.660775,-4.4648,-3.77842,-4.23806,-3.71762,1.29395,1.66134,gen=0_member=89,7.1008,7.1008,30.0092,2.95529,7.50375,2.95529,1,1,0,0,0,0
gen=0_member=90,-4.58544,-4.55128,-2.45986,-4.68011,-4.73081,-1.95864,-4.30098,-2.86241,1.91785,1.51316,gen=0_member=90,6.6604,6.6604,30.1295,3.43101,7.39065,3.43101,1,1,0,0,0,0
gen=0_member=91,-4.64054,-4.73138,-4.10268,-3.96138,-0.960907,-3.32013,-4.07263,-2.85066,6.12228,0.270755,gen=0_member=91,1.20669,1.20669,28.6403,6.39303,5.79101,6.39303,1,1,0,0,0,0
gen=0_member=92,-3.56603,-2.60671,-4.6222,-2.29542,-3.17882,-4.45045,-3.69448,-4.08628,0.663994,6.56107,gen=0_member=92,0.0341865,0.0341865,28.5004,7.22506,5.4644,7.22506,1,1,0,0,0,0
gen=0_member=93,-2.30726,-4.23632,-4.13184,-3.11891,-3.57925,-4.73863,-3.37751,-3.59423,4.02934,3.64147,gen=0_member=93,0.355715,0.355715,29.0839,7.67081,5.54647,7.67081,1,1,0,0,0,0
gen=0_member=94,-3.83814,-3.80008,-3.43531,-2.86493,-3.24699,-4.518,-4.66369,-2.41262,0.709149,5.29939,gen=0_member=94,1.71292,1.71292,28.7798,6.00854,6.11997,6.00854,1,1,0,0,0,0
