real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=681_member=8065_pso,1.5566e-10,1.5566e-10,28.5,7.99999,5.15523,7.99999,1,1,0,0,0,0
gen=300_member=29905_pso,0.410562,0.410562,28.5,6.56145,5.75,6.56145,1,0,0,0,0,0
gen=900_member=29970_pso,0.254932,0.254932,28.5,6.70414,5.6896,6.70414,1,0,0,0,0,0
gen=895_member=29482_pso,0.286105,0.286105,28.5,6.66901,5.70427,6.66901,1,0,0,0,0,0
gen=897_member=29621_pso,0.213492,0.213492,28.5,6.754,5.66858,6.754,1,1,0,0,0,0
gen=898_member=29760_pso,0.155526,0.155526,28.5032,6.83426,5.63639,6.83426,1,1,0,0,0,0
gen=893_member=29293_pso,0.35007,0.35007,28.5,6.63152,5.71574,6.63152,1,0,0,0,0,0
gen=900_member=29988_pso,0.197365,0.197365,28.5,6.77437,5.66021,6.77437,1,1,0,0,0,0
gen=900_member=29964_pso,0.374277,0.374277,28.5,6.57608,5.74291,6.57608,1,0,0,0,0,0
gen=899_member=29828_pso,0.127178,0.127178,28.5035,6.90295,5.60538,6.90295,1,1,0,0,0,0
gen=896_member=29550_pso,0.311737,0.311737,28.5,6.64109,5.71579,6.64109,1,0,0,0,0,0
gen=900_member=29992_pso,2.46155e-05,2.46155e-05,28.5,7.49276,5.2924,7.49276,1,1,0,0,0,0
gen=900_member=29949_pso,0.323407,0.323407,28.5,6.63635,5.71857,6.63635,1,0,0,0,0,0
gen=892_member=29196_pso,0.387493,0.387493,28.5,6.56309,5.74842,6.56309,1,0,0,0,0,0
gen=897_member=29681_pso,0.143372,0.143372,28.5,6.84878,5.62894,6.84878,1,1,0,0,0,0
gen=898_member=29700_pso,5.75886e-07,5.75886e-07,28.5003,7.67072,5.23838,7.67072,1,1,0,0,0,0
gen=899_member=29820_pso,0.0846767,0.0846767,28.5019,6.95168,5.58623,6.95168,1,1,0,0,0,0
gen=894_member=29341_pso,0.00011504,0.00011504,28.5028,7.40028,5.32499,7.40028,1,1,0,0,0,0
gen=899_member=29806_pso,5.15102e-08,5.15102e-08,28.5,7.77706,5.21035,7.77706,1,1,0,0,0,0
gen=899_member=29840_pso,0.0914683,0.0914683,28.5,6.93658,5.59194,6.93658,1,1,0,0,0,0
gen=899_member=29822_pso,0.000227788,0.000227788,28.5,7.35353,5.34099,7.35353,1,1,0,0,0,0
gen=863_member=26208_pso,0.060362,0.060362,28.5,7.03207,5.54942,7.03207,1,1,0,0,0,0
gen=899_member=29887_pso,0.00722187,0.00722187,28.5,7.2988,5.43768,7.2988,1,1,0,0,0,0
gen=897_member=29646_pso,0.104895,0.104895,28.5041,6.9157,5.60234,6.9157,1,1,0,0,0,0
gen=896_member=29557_pso,0.0138093,0.0138093,28.5007,7.23676,5.46352,7.23676,1,1,0,0,0,0
gen=900_member=29940_pso,0.0709568,0.0709568,28.5,6.97901,5.57403,6.97901,1,1,0,0,0,0
gen=898_member=29772_pso,0.109195,0.109195,28.5,6.90388,5.6055,6.90388,1,1,0,0,0,0
gen=899_member=29872_pso,0.0683369,0.0683369,28.5006,6.98578,5.57154,6.98578,1,1,0,0,0,0
gen=888_member=28783_pso,2.56562e-06,2.56562e-06,28.5009,7.60109,5.25833,7.60109,1,1,0,0,0,0
gen=900_member=29954_pso,0.0085675,0.0085675,28.5,7.284,5.44378,7.284,1,1,0,0,0,0
gen=898_member=29780_pso,0.0328515,0.0328515,28.5001,7.11378,5.51568,7.11378,1,1,0,0,0,0
gen=898_member=29771_pso,0.0415978,0.0415978,28.5003,7.07494,5.53252,7.07494,1,1,0,0,0,0
gen=900_member=29994_pso,0.0170663,0.0170663,28.5003,7.22044,5.46997,7.22044,1,1,0,0,0,0
