real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gen=18_member=1777_pso,0.99329,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=12_member=1126_pso,0.000277021,0,0.0,0,0.0,0,0.201646,0,0,0.572507,1.0,0,0,0,0.0,0.0,0.0,0.0,0,0.035767,0,0.0,0.0,0.0,0.0,0,0.833061,0,0.679435,0.131039
gen=45_member=4493_pso,0.83868,0,0.0,0,0.029564,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.243979,0.0,0,0.0,0,0.0,0.0
gen=28_member=2788_pso,0.000545102,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0610734,0,0,0,0.0978188,0.074036,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0125787
gen=37_member=3615_pso,0.300673,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0895989,0,0,0,0.0,0.0476136,0.0,0.0827516,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=36_member=3554_pso,0.0213792,0,0.0,0,0.0,0,0.0,0,0,0.0,0.151855,0,0,0,0.0933655,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.141628,0.0,0,0.237658,0,0.0,0.0191987
gen=40_member=3986_pso,0.702865,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=50_member=4951_pso,0.45108,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.00568918,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=42_member=4176_pso,0.548434,0,0.0,0,0.0,0,0.0,0,0,0.0097346,0.126638,0,0,0,0.0,0.00578271,0.0,0.00843553,0,0.0379871,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=50_member=4911_pso,0.0668005,0,0.0,0,0.0622933,0,0.0,0,0,0.0,0.0,0,0,0,0.0364579,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0649148
gen=44_member=4394_pso,0.172325,0,0.0107128,0,0.0,0,0.0,0,0,0.0,0.0212003,0,0,0,0.0,0.0345025,0.0,0.0,0,0.0123237,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
gen=41_member=4036_pso,0.381399,0,0.147693,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.00497832,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
